r0,g0-r0,Class
14.523979999999998,0.6185,3.0
17.98169,0.30841999999999997,2.0
14.48298,0.36185,3.0
18.2922,0.32297,2.0
20.37196,4.74242,1.0
18.72784,0.20228999999999997,1.0
14.854779999999998,0.12473000000000001,4.0
16.67908,-0.31001,4.0
16.2156,0.5018199999999999,3.0
17.84369,0.35896999999999996,2.0
15.874379999999999,0.41181999999999996,3.0
16.85117,0.4489,3.0
17.98646,0.26156,2.0
18.95234,3.4960699999999996,1.0
14.564879999999999,0.09499999999999997,4.0
14.366929999999998,0.62022,3.0
15.13974,0.50865,3.0
15.61002,-0.21035000000000004,4.0
16.06845,0.50747,3.0
17.52468,0.44886000000000004,2.0
17.972279999999998,0.28969,2.0
14.60195,0.57238,3.0
15.97435,-0.29416,4.0
16.8449,1.11352,3.0
16.76087,0.44778999999999997,3.0
17.60256,0.36928,2.0
17.478839999999998,0.38038,2.0
18.33536,-0.22123000000000004,4.0
21.4425,0.63731,1.0
19.02911,0.22457,1.0
16.687279999999998,5.59439,1.0
17.00039,0.34876,2.0
16.94643,0.7018300000000001,3.0
16.94446,0.49246,3.0
17.03169,0.47797,3.0
17.83674,1.06541,1.0
18.008110000000002,0.30262,2.0
20.7343,0.62137,1.0
17.37151,0.44471000000000005,2.0
18.918229999999998,0.2703,1.0
20.975189999999998,1.21585,1.0
22.04335,0.75376,1.0
22.9831,0.52363,1.0
22.96743,1.12961,1.0
21.35529,0.72475,1.0
21.62741,0.66622,1.0
21.70232,0.92996,1.0
22.970579999999998,1.24862,1.0
9.728182,0.23922,4.0
16.32068,1.33343,1.0
17.171670000000002,1.3389799999999998,1.0
17.764789999999998,0.33091,2.0
17.856289999999998,0.15776999999999997,1.0
14.62716,0.27898,4.0
18.17355,0.27881999999999996,2.0
24.80206,0.31234,1.0
27.43556,0.56676,1.0
24.802210000000002,-4.67855,4.0
22.53991,1.81563,1.0
21.09106,0.37792,1.0
20.2797,0.27879,1.0
20.77225,0.9553799999999999,1.0
20.57695,0.41756000000000004,1.0
21.64395,0.75689,1.0
19.63065,0.26116999999999996,1.0
23.525560000000002,0.92356,1.0
19.88271,0.29525999999999997,1.0
20.38513,0.34089,1.0
22.23005,1.05882,1.0
19.42276,0.25801999999999997,1.0
20.22241,1.5156100000000001,1.0
21.9872,0.46755,1.0
22.32088,1.15306,1.0
24.431729999999998,0.3324,1.0
22.43635,1.20507,1.0
16.51762,0.39069,3.0
20.66551,0.36696999999999996,1.0
19.60622,0.30684,1.0
28.09222,-7.676589999999999,4.0
19.47559,0.27365,1.0
19.94383,0.36813,1.0
22.63939,0.82026,1.0
20.77607,0.73665,1.0
21.076710000000002,0.6713,1.0
22.7066,1.1209799999999999,1.0
15.760229999999998,-0.27342,4.0
15.733529999999998,0.50738,3.0
17.520789999999998,0.40471999999999997,2.0
16.78792,0.52368,3.0
22.47448,1.51952,1.0
18.66169,0.9334600000000001,1.0
20.38852,2.10612,1.0
21.492160000000002,0.77982,1.0
21.2418,0.669,1.0
20.711470000000002,0.62403,1.0
22.91041,1.1384,1.0
23.14891,0.12836999999999998,1.0
23.56302,-0.22170999999999996,1.0
21.16391,1.2409700000000001,1.0
21.581039999999998,1.56894,1.0
21.13939,0.5463399999999999,1.0
21.66028,0.48325,1.0
19.634729999999998,0.53947,1.0
20.640060000000002,0.79575,1.0
19.98313,0.31106,1.0
20.77619,0.74583,1.0
19.7079,0.3159,1.0
19.72735,0.23861,1.0
21.68805,0.78274,1.0
21.469170000000002,0.63848,1.0
19.76995,0.26055,1.0
20.60155,0.53594,1.0
22.51933,1.6606200000000002,1.0
20.3229,0.33487,1.0
25.34791,-0.9486499999999999,4.0
21.08282,0.5996600000000001,1.0
23.63024,1.33033,1.0
21.78783,0.67123,1.0
20.99879,0.52244,1.0
21.970010000000002,0.9480799999999999,1.0
22.01505,0.81638,1.0
22.79821,0.31714000000000003,1.0
22.49752,1.37696,1.0
22.87876,0.7026600000000001,1.0
22.26227,1.3096,1.0
14.86646,0.56791,3.0
19.441489999999998,0.24444000000000002,1.0
20.62678,0.46068000000000003,1.0
19.9592,0.31146,1.0
23.342389999999998,1.01547,1.0
17.46856,0.96616,3.0
19.52892,0.23765999999999998,1.0
18.96937,0.25794,1.0
19.7471,1.39858,1.0
20.76118,0.51477,1.0
20.02435,0.32950999999999997,1.0
20.1871,0.33482,1.0
22.79622,1.13887,1.0
21.9944,0.61888,1.0
21.72268,1.0462,1.0
21.70192,0.80289,1.0
21.351689999999998,0.78641,1.0
21.87027,1.3839,1.0
21.28729,0.47962,1.0
21.28054,0.4933,1.0
21.95975,0.98445,1.0
21.70818,0.40706,1.0
22.20386,0.91069,1.0
21.23217,0.5848,1.0
21.6582,0.55027,1.0
22.74279,0.8861899999999999,1.0
22.30207,1.2472,1.0
16.45778,1.3162399999999999,1.0
18.33245,0.23611,1.0
16.83795,1.0191700000000001,3.0
18.293429999999997,1.1143299999999998,1.0
19.98943,0.30073,1.0
20.16927,0.50851,1.0
22.19514,2.56796,1.0
21.65841,1.31751,1.0
19.82848,0.7679699999999999,1.0
20.52972,0.36532,1.0
20.2108,1.3947100000000001,1.0
23.33397,1.7367700000000004,1.0
14.256789999999999,0.34386,4.0
20.58987,2.19503,1.0
16.89453,0.43233999999999995,3.0
22.31915,0.6928300000000001,1.0
19.53,0.26639,1.0
18.94974,0.23571999999999999,1.0
21.0306,0.52979,1.0
19.53365,0.32595999999999997,1.0
21.245260000000002,0.99329,1.0
22.21063,0.73816,1.0
21.812260000000002,0.75939,1.0
21.214760000000002,0.42953,1.0
20.43126,0.41636999999999996,1.0
22.41603,2.46905,1.0
21.77646,1.66867,1.0
22.068170000000002,1.49689,1.0
22.44414,0.8437399999999999,1.0
21.8937,2.28745,1.0
17.78151,0.6402,3.0
22.49219,2.12624,1.0
19.67628,0.36332,1.0
20.86295,0.49882,1.0
19.58866,1.45607,1.0
20.95092,0.36200000000000004,1.0
21.42894,0.61522,1.0
21.86591,0.8219700000000001,1.0
21.793860000000002,0.9982200000000001,1.0
20.20722,1.38634,1.0
21.500410000000002,1.3927200000000002,1.0
21.57876,0.51274,1.0
21.10497,0.57284,1.0
22.26706,1.9101700000000004,1.0
22.03892,1.8320700000000003,1.0
22.474439999999998,1.1814,1.0
20.28492,3.49514,1.0
23.72929,0.73306,1.0
23.3392,1.38533,1.0
23.0141,0.81196,1.0
18.756870000000003,0.28864,1.0
18.96769,0.18906,1.0
20.532420000000002,0.40341,1.0
20.58401,0.4548,1.0
21.424970000000002,1.10232,1.0
21.93966,0.57917,1.0
21.43541,0.70015,1.0
20.99201,1.09372,1.0
21.424870000000002,0.5240100000000001,1.0
22.60194,0.8643200000000001,1.0
22.0292,0.63502,1.0
22.447229999999998,0.86945,1.0
20.31859,0.8034100000000001,1.0
21.71496,0.75734,1.0
23.88496,0.95063,1.0
22.165570000000002,0.80906,1.0
22.86606,1.42016,1.0
22.44164,1.42363,1.0
24.80206,0.31254,1.0
22.863529999999997,0.8309799999999999,1.0
23.61969,-0.16092000000000006,1.0
18.109389999999998,0.23066999999999996,2.0
22.68819,0.62708,1.0
17.891,0.271,2.0
19.344829999999998,0.24919000000000002,1.0
21.26998,1.89698,1.0
22.35896,1.03878,1.0
22.585639999999998,0.72016,1.0
24.7038,0.65686,1.0
24.24589,-0.8186299999999999,4.0
19.399160000000002,0.2071,1.0
20.17605,1.5805600000000002,1.0
21.00044,1.68635,1.0
21.70955,0.47489,1.0
25.47845,-0.7877,1.0
24.03416,0.56608,1.0
21.72466,1.0418100000000001,1.0
24.31736,-0.016449999999999965,1.0
20.11802,0.32595999999999997,1.0
21.223679999999998,0.27760999999999997,1.0
24.69641,0.73211,1.0
22.34434,0.8543,1.0
20.93628,0.48976000000000003,1.0
22.81684,2.40124,1.0
21.74665,0.60606,1.0
20.79355,1.37048,1.0
22.15082,1.02709,1.0
22.50478,0.8876299999999999,1.0
22.59834,1.7164900000000003,1.0
22.45591,0.91094,1.0
22.43785,1.16937,1.0
22.64369,1.09195,1.0
24.8028,0.30989,1.0
13.904710000000001,0.56243,3.0
22.88922,-0.34968,1.0
24.56844,0.92786,1.0
19.76684,0.26733,1.0
22.16549,0.44592,1.0
18.17636,0.23646,2.0
18.93335,0.20590999999999998,1.0
22.71605,1.17791,1.0
18.166929999999997,0.21548,1.0
19.50376,0.27442,1.0
19.6127,0.27289,1.0
19.12303,0.16360999999999998,1.0
21.84487,2.9702599999999997,1.0
19.23263,1.01993,1.0
21.45185,0.6771699999999999,1.0
21.73799,0.55086,1.0
20.30565,1.36232,1.0
20.37358,0.31124,1.0
20.09698,0.33126,1.0
20.563879999999997,0.3348,1.0
20.12939,0.3872,1.0
20.31569,0.75732,1.0
19.1537,0.38055,1.0
21.59776,1.91675,1.0
22.96013,1.16803,1.0
20.64895,0.44038999999999995,1.0
21.27705,2.90416,1.0
19.98149,1.4775900000000002,1.0
22.49243,0.5945600000000001,1.0
20.30992,0.35738000000000003,1.0
21.2417,0.69201,1.0
19.988770000000002,1.68941,1.0
21.1074,1.4938100000000003,1.0
20.97927,1.5452700000000004,1.0
23.34654,-0.37163,1.0
22.25001,0.6453800000000001,1.0
21.75844,-0.25788,1.0
21.794220000000003,0.64447,1.0
22.06222,0.9112,1.0
22.49608,0.49578999999999995,1.0
21.29414,0.63321,1.0
22.90081,0.38351999999999997,1.0
21.34445,0.58119,1.0
21.57839,1.4113799999999999,1.0
20.573610000000002,1.2522799999999998,1.0
22.17711,0.58634,1.0
22.85285,1.0282,1.0
22.76683,0.75985,1.0
22.764129999999998,1.5752000000000002,1.0
22.57017,0.88369,1.0
22.78541,1.1071,1.0
22.66323,1.31237,1.0
22.58944,1.0966799999999999,1.0
22.536820000000002,0.9554600000000001,1.0
22.416729999999998,0.70741,1.0
22.39331,1.52229,1.0
21.30626,3.67487,1.0
22.710810000000002,0.70916,1.0
21.7429,1.7152500000000002,1.0
23.37283,0.13697000000000004,1.0
24.99709,0.32432,1.0
23.21855,1.32123,1.0
22.339779999999998,1.66777,1.0
15.820479999999998,0.48407,3.0
16.33098,0.59555,3.0
19.31109,1.46446,1.0
21.85116,0.74747,1.0
24.18309,1.68168,1.0
17.71411,0.39226,2.0
19.07787,0.29264,1.0
19.56255,0.33684000000000003,1.0
21.83322,1.2398799999999999,1.0
17.94128,0.29104,2.0
20.88906,0.48721000000000003,1.0
21.36316,0.70273,1.0
22.614539999999998,1.2495399999999999,1.0
18.4293,0.22728000000000004,1.0
20.964660000000002,0.691,1.0
20.89123,1.00868,1.0
23.74758,1.39895,1.0
22.56739,0.78371,1.0
19.71077,1.0569600000000001,1.0
21.66456,0.55189,1.0
22.96121,1.20202,1.0
20.840139999999998,0.67783,1.0
22.19223,2.46085,1.0
23.214779999999998,0.21606999999999998,1.0
22.736810000000002,0.52125,1.0
17.903979999999997,0.30663,2.0
23.08002,2.17643,1.0
18.36305,1.43624,1.0
20.32677,0.25614000000000003,1.0
17.9442,0.52151,3.0
20.78548,0.45466999999999996,1.0
18.2712,1.3524100000000001,1.0
18.237289999999998,0.23396000000000003,2.0
19.588160000000002,0.51636,1.0
20.21481,0.34047,1.0
19.93604,0.30065,1.0
20.34371,1.78395,1.0
19.9266,0.40279,1.0
20.40636,2.10094,1.0
20.3537,1.5473400000000002,1.0
20.950029999999998,0.68598,1.0
21.03079,0.48528000000000004,1.0
21.0175,0.4917,1.0
21.15553,0.66759,1.0
22.004179999999998,0.41189,1.0
22.08955,1.12361,1.0
22.574089999999998,0.7778,1.0
22.23015,1.07346,1.0
22.703129999999998,1.21159,1.0
22.7816,0.7216899999999999,1.0
22.65319,1.7150500000000002,1.0
22.240679999999998,-0.7212,4.0
21.60811,0.89591,1.0
22.10367,1.1242299999999998,1.0
11.780619999999999,2.63518,1.0
18.374229999999997,0.263,2.0
22.29573,2.60045,1.0
22.0106,0.36069,1.0
21.11382,0.90802,1.0
22.69591,1.0472,1.0
23.56278,1.04516,1.0
22.75761,1.5366300000000002,1.0
20.58081,1.4480899999999999,1.0
22.99075,0.5008,1.0
20.046529999999997,0.35909,1.0
22.39923,2.76775,1.0
20.60925,0.47412,1.0
21.08698,0.5634899999999999,1.0
22.08625,0.65463,1.0
22.17051,0.96872,1.0
20.94674,0.64715,1.0
21.77243,0.6562899999999999,1.0
21.6848,1.8028,1.0
21.165860000000002,0.7465,1.0
21.477510000000002,0.59623,1.0
21.89511,0.40255,1.0
19.912679999999998,1.30256,1.0
21.075,0.56247,1.0
21.212239999999998,0.56008,1.0
21.206210000000002,1.31985,1.0
21.08605,0.46243,1.0
21.83821,1.65868,1.0
21.745820000000002,1.64805,1.0
21.493170000000003,1.2838,1.0
25.424039999999998,0.36869,1.0
21.67495,0.9064200000000001,1.0
17.680979999999998,0.38139,2.0
18.257,0.25069,2.0
22.2504,1.50529,1.0
22.58556,1.4668700000000001,1.0
23.32728,0.78371,1.0
20.44053,0.41086000000000006,1.0
24.526970000000002,-1.6350599999999997,4.0
22.027070000000002,1.38866,1.0
16.46131,0.45101,3.0
17.69148,0.49596999999999997,3.0
18.93892,0.21414,1.0
19.322670000000002,0.23332999999999998,1.0
19.989060000000002,0.3086,1.0
20.815720000000002,1.5133900000000002,1.0
19.467270000000003,1.3958899999999999,1.0
20.580779999999997,0.37636,1.0
19.96881,0.6199399999999999,1.0
21.61929,0.8818,1.0
22.4132,1.10343,1.0
21.00044,1.44471,1.0
22.16542,0.6298699999999999,1.0
20.45722,0.42944,1.0
21.35933,0.6304,1.0
25.39613,0.83642,1.0
20.824,0.51271,1.0
21.55874,0.69088,1.0
22.764029999999998,0.37981,1.0
21.52854,0.50734,1.0
21.27887,0.42223999999999995,1.0
21.31096,1.06016,1.0
22.30551,0.78103,1.0
22.41376,0.75554,1.0
22.80871,0.92919,1.0
22.35494,1.63191,1.0
17.44037,0.4346,2.0
22.609939999999998,1.0423,1.0
16.58729,1.00944,3.0
22.43079,0.50107,1.0
24.858620000000002,-0.13821000000000006,1.0
21.217979999999997,0.5028699999999999,1.0
18.51771,0.19848,1.0
20.858320000000003,0.41908,1.0
21.41319,0.53908,1.0
22.787760000000002,0.81488,1.0
21.007839999999998,1.11265,1.0
22.24446,1.0256399999999999,1.0
22.648970000000002,1.5354900000000002,1.0
22.56193,2.0274799999999997,1.0
18.64795,0.18740999999999997,1.0
22.36995,0.7763100000000001,1.0
22.59582,0.6240399999999999,1.0
22.28256,1.53477,1.0
22.83374,0.9498700000000001,1.0
16.6036,1.1771399999999999,3.0
20.36198,0.76657,1.0
21.59546,0.9031899999999999,1.0
22.80366,1.4772399999999999,1.0
22.44829,0.6027,1.0
17.91144,0.42765,2.0
22.48276,1.7516000000000003,1.0
19.348589999999998,0.23301000000000002,1.0
19.69493,0.26574000000000003,1.0
19.52189,0.26541,1.0
19.34098,0.24331,1.0
20.42965,0.36964,1.0
20.8029,0.45298999999999995,1.0
19.54215,0.23768000000000003,1.0
22.13419,1.21706,1.0
22.80686,1.31493,1.0
19.74379,0.26568,1.0
20.53892,0.42108,1.0
21.39626,0.56977,1.0
19.77696,0.34656,1.0
24.33156,1.8795400000000004,1.0
22.28114,0.62383,1.0
22.9911,0.85216,1.0
20.11599,0.35502,1.0
20.42718,0.36924,1.0
20.39465,0.40905,1.0
20.095679999999998,1.33649,1.0
21.2143,0.6375,1.0
21.92195,1.3038299999999998,1.0
21.857329999999997,0.53146,1.0
21.42458,0.7157100000000001,1.0
22.027910000000002,0.29496999999999995,1.0
22.157220000000002,1.37802,1.0
21.743370000000002,0.655,1.0
21.717229999999997,0.8241299999999999,1.0
21.73234,0.68565,1.0
22.71583,1.35141,1.0
20.70543,1.1984,1.0
21.895020000000002,0.8347600000000001,1.0
21.24556,0.88792,1.0
23.46234,-0.16658000000000006,1.0
21.49109,0.7308100000000001,1.0
22.1523,0.97788,1.0
22.57457,0.9402799999999999,1.0
22.35052,1.06762,1.0
22.65535,1.0337100000000001,1.0
22.57961,1.13681,1.0
22.15073,1.24167,1.0
23.03399,1.18335,1.0
21.49053,0.68111,1.0
21.3737,0.44097,1.0
23.14568,1.6642800000000002,1.0
21.890829999999998,1.15519,1.0
18.57189,0.20951999999999998,1.0
21.65881,0.57568,1.0
23.46554,1.21484,1.0
22.99598,1.07175,1.0
19.90855,0.29419,1.0
20.75368,0.41285,1.0
21.190160000000002,0.58806,1.0
21.77158,1.07518,1.0
17.07423,0.40631999999999996,3.0
19.83985,0.43656999999999996,1.0
20.20916,0.32254,1.0
20.59926,0.31911999999999996,1.0
20.81033,0.46095,1.0
21.53313,0.68056,1.0
21.44514,0.58203,1.0
21.69732,0.74075,1.0
21.972089999999998,0.6151300000000001,1.0
