u,g,r,i,z,u-g,g-r,r-i,i-z
24.92077,25.17696,22.93588,24.02173,21.54163,-0.25619,2.24108,-1.08585,2.4801
23.29513,23.87478,23.52946,22.28561,22.60096,-0.57965,0.34532,1.24385,-0.31535
24.46522,23.0592,22.12849,21.6834,23.17286,1.40602,0.93071,0.44509,-1.48946
25.3927,23.09885,22.42548,21.91383,21.46148,2.29385,0.67337,0.51165,0.45235
25.40522,23.13331,22.17466,22.14419,22.4148,2.27191,0.95865,0.03047,-0.27061
22.66523,21.66334,21.15708,21.01519,21.33432,1.00189,0.50626,0.14189,-0.31913
23.46453,23.86223,23.09409,21.32163,20.78698,-0.3977,0.76814,1.77246,0.53465
24.63019,21.8281,21.32992,21.18201,20.76106,2.80209,0.49818,0.14791,0.42095
25.34558,22.77821,22.1303,21.82632,22.54501,2.56737,0.64791,0.30398,-0.71869
22.82739,22.91629,21.98486,21.88717,21.97428,-0.0889,0.93143,0.09769,-0.08711
23.39031,22.72429,22.17351,21.66796,21.43607,0.66602,0.55078,0.50555,0.23189
22.81565,22.782,22.25402,22.14477,21.32759,0.03365,0.52798,0.10925,0.81718
23.69305,23.69592,22.25132,21.75444,22.47976,-0.00287,1.4446,0.49688,-0.72532
23.40048,22.18879,21.82926,21.35052,21.28388,1.21169,0.35953,0.47874,0.06664
24.95047,22.87652,22.27093,22.00222,22.26051,2.07395,0.60559,0.26871,-0.25829
23.65091,21.12419,19.62988,18.90343,18.41446,2.52672,1.49431,0.72645,0.48897
22.59518,21.80076,21.36956,21.30261,20.84723,0.79442,0.4312,0.06695,0.45538
24.18244,22.93077,22.26407,21.99193,21.78506,1.25167,0.6667,0.27214,0.20687
24.21433,24.61875,22.69694,22.58595,22.60798,-0.40442,1.92181,0.11099,-0.02203
23.70287,22.75818,22.05108,21.90557,21.99096,0.94469,0.7071,0.14551,-0.08539
23.6138,22.37696,22.02358,21.7018,21.26298,1.23684,0.35338,0.32178,0.43882
23.7922,21.9086,21.41126,21.19252,21.10978,1.8836,0.49734,0.21874,0.08274
23.39789,22.51868,22.18898,21.71099,21.87042,0.87921,0.3297,0.47799,-0.15943
23.90912,21.98075,21.48761,21.40818,21.25735,1.92837,0.49314,0.07943,0.15083
24.78807,23.9246,22.63486,20.88962,19.88936,0.86347,1.28974,1.74524,1.00026
23.8066,22.88997,22.0112,22.19352,21.53341,0.91663,0.87877,-0.18232,0.66011
23.47021,22.47888,21.86516,21.45645,21.43009,0.99133,0.61372,0.40871,0.02636
25.50576,24.5274,22.86662,22.83189,22.10447,0.97836,1.66078,0.03473,0.72742
22.94595,21.69226,21.16193,21.12261,21.19909,1.25369,0.53033,0.03932,-0.07648
25.03127,22.93999,22.04696,22.1972,21.46778,2.09128,0.89303,-0.15024,0.72942
23.6994,21.87667,21.29803,21.21581,21.21914,1.82273,0.57864,0.08222,-0.00333
22.98546,22.20041,21.5449,21.50538,21.36475,0.78505,0.65551,0.03952,0.14063
23.70969,22.71618,22.28328,21.90404,21.99924,0.99351,0.4329,0.37924,-0.0952
24.39797,23.05643,22.24435,21.99202,23.03723,1.34154,0.81208,0.25233,-1.04521
23.1624,22.08099,21.43738,21.27275,20.98486,1.08141,0.64361,0.16463,0.28789
23.34193,21.94592,21.4052,21.21017,21.14412,1.39601,0.54072,0.19503,0.06605
23.00676,21.42505,21.08802,20.89513,20.81095,1.58171,0.33703,0.19289,0.08418
21.95014,21.0586,20.71577,20.53642,20.41504,0.89154,0.34283,0.17935,0.12138
21.89662,20.88838,20.57133,20.43134,20.4234,1.00824,0.31705,0.13999,0.00794
23.59322,22.30579,21.50871,21.24872,21.72604,1.28743,0.79708,0.25999,-0.47732
22.3147,21.56884,21.01664,20.92178,21.08501,0.74586,0.5522,0.09486,-0.16323
21.63327,20.63266,20.31229,20.16157,20.18438,1.00061,0.32037,0.15072,-0.02281
25.74279,23.33703,22.88965,22.35931,21.30264,2.40576,0.44738,0.53034,1.05667
23.52707,21.97663,21.5147,21.34304,20.80623,1.55044,0.46193,0.17166,0.53681
21.58004,20.47102,20.14149,20.09159,19.9536,1.10902,0.32953,0.0499,0.13799
24.99779,23.89006,22.631,22.60005,22.28542,1.10773,1.25906,0.03095,0.31463
22.50624,21.76553,21.23964,21.11402,20.77223,0.74071,0.52589,0.12562,0.34179
22.27926,21.20173,20.81395,20.64427,20.48236,1.07753,0.38778,0.16968,0.16191
25.72413,23.81479,22.72677,22.80832,22.76369,1.90934,1.08802,-0.08155,0.04463
23.93074,23.26549,22.82146,22.63859,22.13735,0.66525,0.44403,0.18287,0.50124
23.2703,22.31272,21.8455,21.37513,21.35232,0.95758,0.46722,0.47037,0.02281
22.13562,20.99349,20.5406,20.29566,20.18864,1.14213,0.45289,0.24494,0.10702
23.95951,23.60656,23.03843,22.27555,22.16882,0.35295,0.56813,0.76288,0.10673
25.06593,23.88561,22.65673,22.4939,21.56822,1.18032,1.22888,0.16283,0.92568
23.84965,22.09822,21.7568,21.52807,21.00492,1.75143,0.34142,0.22873,0.52315
23.03843,22.38715,21.63924,21.73853,21.2489,0.65128,0.74791,-0.09929,0.48963
21.09879,20.08,19.77847,19.70897,19.56775,1.01879,0.30153,0.0695,0.14122
26.40018,22.46634,21.59264,21.34556,21.25434,3.93384,0.8737,0.24708,0.09122
22.03469,20.88659,20.5063,20.32903,20.27553,1.1481,0.38029,0.17727,0.0535
21.00826,20.10868,19.78371,19.66317,19.69454,0.89958,0.32497,0.12054,-0.03137
22.20201,20.94388,20.56071,20.48561,20.40724,1.25813,0.38317,0.0751,0.07837
22.16548,20.89667,20.53812,20.35548,20.20325,1.26881,0.35855,0.18264,0.15223
21.33639,20.50376,20.13989,20.0009,19.86358,0.83263,0.36387,0.13899,0.13732
21.3567,20.31982,19.98756,19.85241,20.0833,1.03688,0.33226,0.13515,-0.23089
24.59777,24.17392,22.84586,22.89446,22.53909,0.42385,1.32806,-0.0486,0.35537
23.76962,25.69981,22.98991,22.70648,22.74108,-1.93019,2.7099,0.28343,-0.0346
25.52789,22.74122,22.00701,21.90368,21.90619,2.78667,0.73421,0.10333,-0.00251
22.72608,21.44741,21.01342,20.89468,21.33309,1.27867,0.43399,0.11874,-0.43841
22.55468,21.4464,20.96967,20.80567,20.70156,1.10828,0.47673,0.164,0.10411
22.02471,20.89579,20.56451,20.44196,20.32015,1.12892,0.33128,0.12255,0.12181
21.39185,20.40196,20.11523,19.98072,19.90166,0.98989,0.28673,0.13451,0.07906
21.73502,20.62885,20.27755,20.16786,20.06896,1.10617,0.3513,0.10969,0.0989
21.99356,20.98479,20.62413,20.46872,20.36944,1.00877,0.36066,0.15541,0.09928
21.21847,20.30943,20.01142,19.90175,19.88849,0.90904,0.29801,0.10967,0.01326
24.10021,22.88154,21.34612,19.84855,18.96527,1.21867,1.53542,1.49757,0.88328
22.37811,21.08849,20.69468,20.4856,20.4338,1.28962,0.39381,0.20908,0.0518
26.07609,23.63957,22.76912,22.81348,21.84441,2.43652,0.87045,-0.04436,0.96907
23.82379,24.20831,22.51831,21.62713,21.0846,-0.38452,1.69,0.89118,0.54253
23.60217,21.60781,21.17386,20.92755,20.8602,1.99436,0.43395,0.24631,0.06735
23.426,21.61525,20.98611,20.9167,20.7177,1.81075,0.62914,0.06941,0.199
20.38952,19.56339,19.27716,19.20089,19.1503,0.82613,0.28623,0.07627,0.05059
23.15962,23.88687,22.55842,22.20219,21.21283,-0.72725,1.32845,0.35623,0.98936
24.44649,23.39652,22.65394,22.10697,21.47171,1.04997,0.74258,0.54697,0.63526
24.15683,22.63544,21.96087,21.93196,21.90131,1.52139,0.67457,0.02891,0.03065
22.49594,21.51893,21.10518,20.96415,20.60025,0.97701,0.41375,0.14103,0.3639
22.24181,21.24482,20.96123,20.65521,20.48133,0.99699,0.28359,0.30602,0.17388
20.61625,19.72242,19.48417,19.38435,19.36014,0.89383,0.23825,0.09982,0.02421
24.11966,23.18554,22.22164,22.03913,22.53725,0.93412,0.9639,0.18251,-0.49812
22.44454,21.6707,21.30663,21.12098,20.90934,0.77384,0.36407,0.18565,0.21164
20.42873,19.46623,19.20196,19.0863,19.10775,0.9625,0.26427,0.11566,-0.02145
24.07418,22.4468,21.77472,21.57401,21.08905,1.62738,0.67208,0.20071,0.48496
21.76324,20.81883,20.4341,20.30139,20.44321,0.94441,0.38473,0.13271,-0.14182
21.18976,20.20847,19.94852,19.84425,19.7719,0.98129,0.25995,0.10427,0.07235
20.64992,18.83088,18.11668,17.89013,17.74902,1.81904,0.7142,0.22655,0.14111
24.46016,22.84306,22.95854,22.02247,22.55947,1.6171,-0.11548,0.93607,-0.537
25.23751,22.54735,21.92008,21.59698,21.51691,2.69016,0.62727,0.3231,0.08007
23.63332,22.90628,22.03741,21.60402,21.92402,0.72704,0.86887,0.43339,-0.32
20.65499,19.86671,19.57764,19.46991,19.49546,0.78828,0.28907,0.10773,-0.02555
20.17513,19.17937,18.83092,18.67172,18.60244,0.99576,0.34845,0.1592,0.06928
19.3435,18.09081,17.55863,17.35955,17.22089,1.25269,0.53218,0.19908,0.13866
22.67545,21.49926,21.0706,20.98865,20.80494,1.17619,0.42866,0.08195,0.18371
23.63908,23.14686,22.2776,21.93798,21.23834,0.49222,0.86926,0.33962,0.69964
23.71965,22.92384,22.31879,21.81274,22.43402,0.79581,0.60505,0.50605,-0.62128
22.34513,21.10406,20.76125,20.673,20.5129,1.24107,0.34281,0.08825,0.1601
21.37337,20.36547,20.07281,19.90245,19.83376,1.0079,0.29266,0.17036,0.06869
20.90102,19.96287,19.65086,19.53798,19.5312,0.93815,0.31201,0.11288,0.00678
22.41725,23.31056,22.07571,22.18772,21.25822,-0.89331,1.23485,-0.11201,0.9295
23.0958,23.01353,22.08557,21.58127,21.17918,0.08227,0.92796,0.5043,0.40209
23.19179,23.12725,22.70656,21.89162,21.85266,0.06454,0.42069,0.81494,0.03896
24.55743,22.66888,21.74568,21.90929,21.66465,1.88855,0.9232,-0.16361,0.24464
24.12864,22.5588,21.85585,21.49861,21.4513,1.56984,0.70295,0.35724,0.04731
24.21699,21.85684,21.55232,21.06397,21.07389,2.36015,0.30452,0.48835,-0.00992
24.74035,22.4893,21.38444,20.46373,19.83786,2.25105,1.10486,0.92071,0.62587
22.04926,21.19823,20.79449,20.60119,20.50182,0.85103,0.40374,0.1933,0.09937
21.87052,21.08812,20.71782,20.65059,20.55469,0.7824,0.3703,0.06723,0.0959
21.86067,20.85715,20.54868,20.38686,20.61916,1.00352,0.30847,0.16182,-0.2323
21.89558,20.74792,20.39623,20.26792,20.30792,1.14766,0.35169,0.12831,-0.04
21.04869,20.0083,19.76617,19.55577,19.41638,1.04039,0.24213,0.2104,0.13939
20.61847,19.70052,19.40863,19.26953,19.32938,0.91795,0.29189,0.1391,-0.05985
19.72739,18.50314,17.99751,17.80469,17.69879,1.22425,0.50563,0.19282,0.1059
24.53013,22.49606,21.84424,21.61282,22.1687,2.03407,0.65182,0.23142,-0.55588
24.8488,22.71342,22.09806,22.15575,22.05229,2.13538,0.61536,-0.05769,0.10346
20.17546,19.2196,18.87411,18.77244,18.67699,0.95586,0.34549,0.10167,0.09545
25.50004,23.8179,22.59708,22.26041,21.6676,1.68214,1.22082,0.33667,0.59281
24.72125,23.43347,22.4882,22.49911,21.34218,1.28778,0.94527,-0.01091,1.15693
23.76113,23.4643,22.39643,22.15865,22.38996,0.29683,1.06787,0.23778,-0.23131
25.74657,22.67898,22.09371,21.75772,22.26172,3.06759,0.58527,0.33599,-0.504
24.63357,22.25524,21.78689,21.86893,20.90413,2.37833,0.46835,-0.08204,0.9648
21.74858,20.85265,20.48633,20.38173,20.33583,0.89593,0.36632,0.1046,0.0459
21.59884,20.45688,20.1552,20.07394,20.02235,1.14196,0.30168,0.08126,0.05159
26.26034,23.17207,22.56785,21.83617,21.28841,3.08827,0.60422,0.73168,0.54776
18.83212,17.55685,17.1027,16.96679,16.88943,1.27527,0.45415,0.13591,0.07736
18.00377,16.51542,15.88156,15.62853,15.48275,1.48835,0.63386,0.25303,0.14578
23.13813,23.88248,22.7076,22.63609,22.71497,-0.74435,1.17488,0.07151,-0.07888
24.17976,22.8926,22.25758,22.1015,22.16656,1.28716,0.63502,0.15608,-0.06506
25.29832,22.7689,22.22376,22.11344,21.57154,2.52942,0.54514,0.11032,0.5419
24.07889,22.607,22.0228,21.79049,21.34619,1.47189,0.5842,0.23231,0.4443
24.11445,22.36719,21.62994,21.54875,21.26702,1.74726,0.73725,0.08119,0.28173
21.93,20.82341,20.48578,20.34649,20.13544,1.10659,0.33763,0.13929,0.21105
24.07567,21.88732,20.48541,19.56984,19.04846,2.18835,1.40191,0.91557,0.52138
23.58345,23.63466,24.35817,22.05316,22.55108,-0.05121,-0.72351,2.30501,-0.49792
23.38598,23.34094,24.35532,21.43515,22.98711,0.04504,-1.01438,2.92017,-1.55196
25.18782,24.15081,23.45875,22.27893,22.3545,1.03701,0.69206,1.17982,-0.07557
26.86661,22.7915,21.76847,20.53164,19.73907,4.07511,1.02303,1.23683,0.79257
24.0077,23.83921,22.93032,22.39433,22.53338,0.16849,0.90889,0.53599,-0.13905
24.39341,23.50801,22.65168,22.49487,21.84101,0.8854,0.85633,0.15681,0.65386
22.78139,23.73971,22.12237,21.31688,20.78,-0.95832,1.61734,0.80549,0.53688
25.35876,23.9996,22.81066,22.33259,22.7637,1.35916,1.18894,0.47807,-0.43111
25.16249,23.75615,22.63656,22.30716,21.60677,1.40634,1.11959,0.3294,0.70039
22.4854,22.63787,21.72624,21.67143,22.24252,-0.15247,0.91163,0.05481,-0.57109
22.84207,21.99433,21.42752,21.48427,21.3476,0.84774,0.56681,-0.05675,0.13667
23.93012,21.50179,20.08388,19.23903,18.79692,2.42833,1.41791,0.84485,0.44211
22.74949,22.42248,21.85774,21.61764,21.1723,0.32701,0.56474,0.2401,0.44534
23.77465,22.00463,21.56049,21.21991,22.09438,1.77002,0.44414,0.34058,-0.87447
23.91064,22.79406,22.01057,21.75347,22.08752,1.11658,0.78349,0.2571,-0.33405
23.14679,21.9081,21.42832,21.23048,20.90974,1.23869,0.47978,0.19784,0.32074
21.24187,20.08943,19.39626,19.03197,18.78861,1.15244,0.69317,0.36429,0.24336
25.31033,23.89333,23.37945,21.97375,21.62544,1.417,0.51388,1.4057,0.34831
24.2057,21.28757,19.79544,19.12993,18.73419,2.91813,1.49213,0.66551,0.39574
24.04568,25.04912,22.79522,22.51544,22.98733,-1.00344,2.2539,0.27978,-0.47189
24.24159,23.42698,22.55919,22.25238,21.49793,0.81461,0.86779,0.30681,0.75445
23.46677,23.45994,22.73888,22.25036,21.59591,0.00683,0.72106,0.48852,0.65445
23.68952,22.42392,22.05275,21.6216,22.24933,1.2656,0.37117,0.43115,-0.62773
23.60156,22.21583,21.65516,21.23718,21.29442,1.38573,0.56067,0.41798,-0.05724
22.70223,21.60411,21.10867,20.9593,21.13192,1.09812,0.49544,0.14937,-0.17262
22.61125,21.35418,21.02739,20.97795,20.89193,1.25707,0.32679,0.04944,0.08602
25.20675,23.99936,22.9225,23.04995,22.92714,1.20739,1.07686,-0.12745,0.12281
24.72016,22.89159,22.24962,21.88353,22.0371,1.82857,0.64197,0.36609,-0.15357
23.12507,21.84059,21.35014,21.13999,21.17176,1.28448,0.49045,0.21015,-0.03177
23.73314,22.29985,20.80067,19.29038,18.46844,1.43329,1.49918,1.51029,0.82194
23.42584,22.15406,21.50682,21.35788,21.26723,1.27178,0.64724,0.14894,0.09065
22.10716,21.98074,21.40295,21.19149,21.18506,0.12642,0.57779,0.21146,0.00643
23.75884,22.59988,21.86729,21.64971,21.82114,1.15896,0.73259,0.21758,-0.17143
21.26281,21.24277,21.28692,21.05109,20.84504,0.02004,-0.04415,0.23583,0.20605
23.72711,21.3055,19.96376,19.38003,18.94243,2.42161,1.34174,0.58373,0.4376
22.09351,21.72299,21.21183,20.99857,21.09499,0.37052,0.51116,0.21326,-0.09642
22.86761,21.47475,21.08885,20.85651,20.74395,1.39286,0.3859,0.23234,0.11256
21.34649,20.60805,20.19017,20.10346,20.19726,0.73844,0.41788,0.08671,-0.0938
24.87814,24.58506,24.51489,22.05483,22.49543,0.29308,0.07017,2.46006,-0.4406
24.97906,22.98425,22.43175,21.78008,23.30424,1.99481,0.5525,0.65167,-1.52416
24.98672,22.37635,21.77262,21.5978,20.9551,2.61037,0.60373,0.17482,0.6427
21.68079,20.98938,20.4849,20.4264,20.6235,0.69141,0.50448,0.0585,-0.1971
22.44717,21.23913,20.7722,20.63488,20.58466,1.20804,0.46693,0.13732,0.05022
26.16288,24.70316,23.73457,22.34125,22.63811,1.45972,0.96859,1.39332,-0.29686
24.63026,23.75301,22.97172,23.19925,22.22595,0.87725,0.78129,-0.22753,0.9733
25.45486,22.7081,22.31877,22.28786,21.83582,2.74676,0.38933,0.03091,0.45204
23.63635,23.81307,22.83246,22.82422,22.09254,-0.17672,0.98061,0.00824,0.73168
25.58887,24.00336,22.66835,23.02638,22.9227,1.58551,1.33501,-0.35803,0.10368
25.77251,23.52489,22.95602,22.23168,22.80432,2.24762,0.56887,0.72434,-0.57264
24.24065,24.72742,22.6212,22.30315,21.63174,-0.48677,2.10622,0.31805,0.67141
24.8604,23.44334,22.42159,22.08365,22.84021,1.41706,1.02175,0.33794,-0.75656
24.49822,23.52214,22.19368,21.74631,21.53789,0.97608,1.32846,0.44737,0.20842
25.71513,22.98874,21.98825,22.04684,22.5791,2.72639,1.00049,-0.05859,-0.53226
24.01157,22.58322,21.95377,21.61127,22.31226,1.42835,0.62945,0.3425,-0.70099
24.95306,22.15418,21.72277,21.66481,22.20333,2.79888,0.43141,0.05796,-0.53852
23.94626,22.31915,21.56466,21.5249,21.73573,1.62711,0.75449,0.03976,-0.21083
23.37156,22.01646,21.43027,21.45747,22.09,1.3551,0.58619,-0.0272,-0.63253
23.53304,21.73436,21.18197,20.98515,20.62068,1.79868,0.55239,0.19682,0.36447
21.96667,21.29994,20.97415,21.07654,21.08615,0.66673,0.32579,-0.10239,-0.00961
22.6814,21.07318,20.52968,20.37781,20.33585,1.60822,0.5435,0.15187,0.04196
22.38694,21.01203,20.49033,20.50522,20.41755,1.37491,0.5217,-0.01489,0.08767
21.5389,20.44082,20.05517,20.03888,20.22763,1.09808,0.38565,0.01629,-0.18875
21.11419,20.13435,19.81556,19.75216,19.69417,0.97984,0.31879,0.0634,0.05799
23.07598,21.66108,21.30964,21.28478,20.66087,1.4149,0.35144,0.02486,0.62391
23.74691,21.52584,21.02025,20.88541,21.10018,2.22107,0.50559,0.13484,-0.21477
20.4851,19.50807,19.22541,19.10656,19.11638,0.97703,0.28266,0.11885,-0.00982
23.62217,24.86586,23.42519,22.58925,21.89019,-1.24369,1.44067,0.83594,0.69906
23.66672,24.39388,23.23237,22.22516,23.18959,-0.72716,1.16151,1.00721,-0.96443
24.42477,23.05653,22.22944,21.98143,22.025,1.36824,0.82709,0.24801,-0.04357
25.06428,24.19757,22.61942,21.59272,20.71232,0.86671,1.57815,1.0267,0.8804
22.84995,22.09775,21.41631,21.38446,20.96629,0.7522,0.68144,0.03185,0.41817
23.10665,21.53449,20.97856,20.92838,20.67339,1.57216,0.55593,0.05018,0.25499
21.75152,21.10625,20.57297,20.48404,20.17272,0.64527,0.53328,0.08893,0.31132
20.735,19.77951,19.47033,19.37696,19.48082,0.95549,0.30918,0.09337,-0.10386
19.67792,18.42819,17.88126,17.71091,17.59554,1.24973,0.54693,0.17035,0.11537
20.0882,18.85331,18.3959,18.12866,18.04291,1.23489,0.45741,0.26724,0.08575
23.64896,21.60966,21.09107,20.79031,20.97405,2.0393,0.51859,0.30076,-0.18374
23.8531,22.10001,21.68421,21.36341,21.41399,1.75309,0.4158,0.3208,-0.05058
23.95069,22.30537,21.63113,21.30602,21.58946,1.64532,0.67424,0.32511,-0.28344
24.53849,21.99525,22.19185,21.71429,22.00558,2.54324,-0.1966,0.47756,-0.29129
24.30822,23.19412,22.58712,22.13404,21.57006,1.1141,0.607,0.45308,0.56398
25.24087,22.81617,22.31585,22.4595,21.91989,2.4247,0.50032,-0.14365,0.53961
24.42448,25.35871,23.05849,23.79795,22.76368,-0.93423,2.30022,-0.73946,1.03427
22.81253,20.57967,19.22897,18.36989,17.84841,2.23286,1.3507,0.85908,0.52148
20.62146,19.6688,19.41869,19.35815,19.29988,0.95266,0.25011,0.06054,0.05827
21.17577,20.29128,20.02599,19.86496,19.99067,0.88449,0.26529,0.16103,-0.12571
20.22929,19.12392,18.72971,18.5318,18.49559,1.10537,0.39421,0.19791,0.03621
20.20446,19.10715,18.78079,18.57982,18.50103,1.09731,0.32636,0.20097,0.07879
20.37548,19.3959,19.16295,19.02668,19.01031,0.97958,0.23295,0.13627,0.01637
25.10397,21.53397,20.18962,18.94975,18.31152,3.57,1.34435,1.23987,0.63823
20.7941,19.81919,19.57069,19.426,19.37763,0.97491,0.2485,0.14469,0.04837
20.96127,19.81062,19.58988,19.46491,19.5368,1.15065,0.22074,0.12497,-0.07189
20.63878,19.77454,19.61655,19.70055,19.60954,0.86424,0.15799,-0.084,0.09101
21.09186,19.77204,19.55131,19.42169,19.44203,1.31982,0.22073,0.12962,-0.02034
20.71927,19.924,19.59171,19.41281,19.49184,0.79527,0.33229,0.1789,-0.07903
21.8562,20.3399,20.11132,19.85731,20.08592,1.5163,0.22858,0.25401,-0.22861
25.16399,21.99833,20.44781,19.27133,18.65648,3.16566,1.55052,1.17648,0.61485
21.41039,20.21618,19.91758,19.79324,19.79968,1.19421,0.2986,0.12434,-0.00644
23.36389,20.33057,19.46179,19.7097,19.59662,3.03332,0.86878,-0.24791,0.11308
24.37585,23.0356,21.55449,20.52687,20.13252,1.34025,1.48111,1.02762,0.39435
24.71358,22.73222,20.95666,20.53157,20.01324,1.98136,1.77556,0.42509,0.51833
24.07213,21.6604,21.19363,21.0381,22.11601,2.41173,0.46677,0.15553,-1.07791
24.10713,21.83254,21.09676,21.00129,21.07438,2.27459,0.73578,0.09547,-0.07309
24.20283,22.22979,21.61069,21.32227,22.74209,1.97304,0.6191,0.28842,-1.41982
23.21643,22.3558,22.36729,21.85881,21.11764,0.86063,-0.01149,0.50848,0.74117
23.75737,23.10035,22.22962,21.91896,21.73472,0.65702,0.87073,0.31066,0.18424
25.2882,24.47388,23.25981,21.91744,22.18076,0.81432,1.21407,1.34237,-0.26332
24.05671,23.14496,22.37197,22.01561,21.18016,0.91175,0.77299,0.35636,0.83545
23.20048,22.50494,22.02399,22.07909,22.88089,0.69554,0.48095,-0.0551,-0.8018
22.41029,22.39068,21.54258,21.55967,22.34499,0.01961,0.8481,-0.01709,-0.78532
24.73232,21.88628,21.47329,21.1816,22.68607,2.84604,0.41299,0.29169,-1.50447
24.67925,25.03545,22.96479,21.13342,20.46226,-0.3562,2.07066,1.83137,0.67116
24.99652,21.79553,21.61279,21.06328,22.03629,3.20099,0.18274,0.54951,-0.97301
22.04243,21.09198,20.64052,20.66349,20.45389,0.95045,0.45146,-0.02297,0.2096
22.28717,20.78069,20.60407,20.49827,20.4834,1.50648,0.17662,0.1058,0.01487
21.98307,20.68441,20.41638,20.2618,20.20863,1.29866,0.26803,0.15458,0.05317
21.22205,20.2545,19.98133,19.91785,19.88422,0.96755,0.27317,0.06348,0.03363
21.03487,20.1905,19.88825,19.74393,19.83921,0.84437,0.30225,0.14432,-0.09528
20.11311,18.92436,18.5273,18.31632,18.24467,1.18875,0.39706,0.21098,0.07165
18.4571,17.08999,16.52635,16.27736,16.10703,1.36711,0.56364,0.24899,0.17033
21.32927,19.99656,19.75684,19.62185,19.60514,1.33271,0.23972,0.13499,0.01671
19.06473,19.02759,19.46856,19.84931,20.17778,0.03714,-0.44097,-0.38075,-0.32847
20.70619,19.56129,19.34111,19.25665,19.15852,1.1449,0.22018,0.08446,0.09813
20.53638,19.5847,19.29193,19.19463,19.0248,0.95168,0.29277,0.0973,0.16983
21.16765,19.77708,19.53581,19.46831,19.29082,1.39057,0.24127,0.0675,0.17749
20.55838,19.41261,19.1738,19.16892,19.13164,1.14577,0.23881,0.00488,0.03728
20.44059,19.38499,21.30204,20.96202,18.98507,1.0556,-1.91705,0.34002,1.97695
21.44453,18.96112,24.80204,19.26845,23.41614,2.48341,-5.84092,5.53359,-4.14769
20.46427,19.30338,19.09694,18.98918,18.89224,1.16089,0.20644,0.10776,0.09694
20.47274,19.27456,19.04298,18.97516,18.89985,1.19818,0.23158,0.06782,0.07531
20.54871,19.41127,19.16623,19.08652,18.92006,1.13744,0.24504,0.07971,0.16646
19.40684,25.57254,25.32929,25.10665,23.3992,-6.1657,0.24325,0.22264,1.70745
20.37114,19.19486,18.92726,18.86292,18.57954,1.17628,0.2676,0.06434,0.28338
20.26256,19.13703,18.8517,18.75193,18.61582,1.12553,0.28533,0.09977,0.13611
20.41935,19.19996,19.07905,18.88943,18.65642,1.21939,0.12091,0.18962,0.23301
19.91309,19.0351,18.95278,19.32415,18.40577,0.87799,0.08232,-0.37137,0.91838
20.41982,19.40224,19.12177,18.88563,18.80956,1.01758,0.28047,0.23614,0.07607
20.12026,25.1144,24.80204,24.36181,22.82692,-4.99414,0.31236,0.44023,1.53489
20.47095,19.20305,18.84252,18.72575,18.56631,1.2679,0.36053,0.11677,0.15944
