u,g,r,i,z,u-g,g-r,r-i,i-z
25.93224,24.84633,23.67553,22.41203,22.26997,1.08591,1.1708,1.2635,0.14206
25.15471,24.27645,23.03324,21.90648,21.66032,0.87826,1.24321,1.12676,0.24616
19.20539,18.3157,18.05747,17.91351,17.89347,0.88969,0.25823,0.14396,0.02004
24.07008,21.85639,21.51495,21.22861,22.4165,2.21369,0.34144,0.28634,-1.18789
23.23983,21.72773,21.32858,21.18766,21.02167,1.5121,0.39915,0.14092,0.16599
22.34744,20.81432,20.65331,20.43758,20.16737,1.53312,0.16101,0.21573,0.27021
20.15018,18.17445,17.38977,17.04474,16.8185,1.97573,0.78468,0.34503,0.22624
21.96341,20.79699,20.53335,20.30518,20.26077,1.16642,0.26364,0.22817,0.04441
23.83964,22.17016,21.97691,21.14945,22.09267,1.66948,0.19325,0.82746,-0.94322
22.18582,20.64949,20.16906,19.93761,19.59054,1.53633,0.48043,0.23145,0.34707
20.48886,19.39541,19.15305,19.0409,19.01995,1.09345,0.24236,0.11215,0.02095
22.89341,22.1121,21.66687,21.56917,22.10623,0.78131,0.44523,0.0977,-0.53706
25.86287,22.24524,21.86401,21.44993,22.49552,3.61763,0.38123,0.41408,-1.04559
24.31557,22.40075,21.71062,21.14409,22.3954,1.91482,0.69013,0.56653,-1.25131
23.86753,21.42371,20.95125,20.62446,21.09997,2.44382,0.47246,0.32679,-0.47551
21.44919,20.4785,20.13651,19.94501,20.14829,0.97069,0.34199,0.1915,-0.20328
21.3144,20.16158,19.94835,19.73842,19.80738,1.15282,0.21323,0.20993,-0.06896
24.36784,23.72208,22.6975,20.79239,18.8553,0.64576,1.02458,1.90511,1.93709
19.23156,17.89498,17.3939,17.16107,17.03768,1.33658,0.50108,0.23283,0.12339
24.68045,22.28306,21.89173,21.8277,22.16868,2.39739,0.39133,0.06403,-0.34098
20.4424,19.30038,18.87063,18.70936,18.62077,1.14202,0.42975,0.16127,0.08859
18.40345,18.21976,18.63256,18.86048,19.05382,0.18369,-0.4128,-0.22792,-0.19334
23.37218,22.02605,21.6607,21.75691,22.16941,1.34613,0.36535,-0.09621,-0.4125
24.03584,22.30521,21.87323,21.60985,22.19504,1.73063,0.43198,0.26338,-0.58519
22.76251,22.51155,21.81917,22.16439,22.73179,0.25096,0.69238,-0.34522,-0.5674
24.30541,23.06286,22.16554,22.02391,21.66642,1.24255,0.89732,0.14163,0.35749
23.09732,22.31739,21.96634,21.75445,22.24822,0.77993,0.35105,0.21189,-0.49377
