u,g,r,i,z,u-g,g-r,r-i,i-z,Class
19.84653,18.87005,18.61172,18.49796,18.5119,0.97648,0.25833,0.11376,-0.01394,1
20.97404,19.91154,19.5016,19.30515,19.13358,1.0625,0.40994,0.19645,0.17157,1
20.28003,19.29552,19.01822,18.91004,18.92676,0.98451,0.2773,0.10818,-0.01672,1
20.42524,19.47885,19.13483,19.03753,18.99642,0.94639,0.34402,0.0973,0.04111,1
20.02196,19.09541,18.75397,18.59534,18.59439,0.92655,0.34144,0.15863,9.50E-04,1
20.86209,20.00884,19.65146,19.48873,19.31919,0.85325,0.35738,0.16273,0.16954,1
20.53008,19.5713,19.19225,19.02648,18.97606,0.95878,0.37905,0.16577,0.05042,1
19.62429,18.67322,18.42974,18.33298,18.33458,0.95107,0.24348,0.09676,-0.0016,1
20.26308,19.39449,19.11295,18.97494,18.98625,0.86859,0.28154,0.13801,-0.01131,1
21.27693,20.2651,19.89077,19.72927,19.74079,1.01183,0.37433,0.1615,-0.01152,1
21.12238,20.21716,19.8972,19.77281,19.69738,0.90522,0.31996,0.12439,0.07543,1
20.99228,20.12221,19.74336,19.63881,19.50724,0.87007,0.37885,0.10455,0.13157,1
21.81816,20.44877,19.91188,19.72821,19.58308,1.36939,0.53689,0.18367,0.14513,1
21.28563,20.26998,19.83912,19.7234,19.62227,1.01565,0.43086,0.11572,0.10113,1
21.54539,20.43959,19.99342,19.84653,19.68637,1.1058,0.44617,0.14689,0.16016,1
21.28619,20.29729,19.89156,19.79182,19.80463,0.9889,0.40573,0.09974,-0.01281,1
21.73991,20.44263,19.96537,19.77327,19.7362,1.29728,0.47726,0.1921,0.03707,1
20.42087,19.5574,19.23032,19.09511,19.12295,0.86347,0.32708,0.13521,-0.02784,1
20.8691,19.80299,19.46959,19.34759,19.33268,1.06611,0.3334,0.122,0.01491,1
19.91498,18.97361,18.71132,18.63739,18.62729,0.94137,0.26229,0.07393,0.0101,1
21.01394,20.09225,19.72591,19.5918,19.68068,0.92169,0.36634,0.13411,-0.08888,1
20.47894,19.445,19.2459,19.00638,18.97787,1.03394,0.1991,0.23952,0.02851,1
20.17904,19.17994,18.91441,18.81335,18.78747,0.9991,0.26553,0.10106,0.02588,1
19.5168,18.55875,18.31573,18.20848,18.22114,0.95805,0.24302,0.10725,-0.01266,1
19.90216,18.94796,18.711,18.6077,18.58419,0.9542,0.23696,0.1033,0.02351,1
20.7684,19.89106,19.585,19.45825,19.42112,0.87734,0.30606,0.12675,0.03713,1
21.37388,20.31975,19.94549,19.83058,19.91938,1.05413,0.37426,0.11491,-0.0888,1
19.37112,18.40965,18.16406,18.04829,18.02075,0.96147,0.24559,0.11577,0.02754,1
19.42747,18.46965,18.22303,18.0777,18.02111,0.95782,0.24662,0.14533,0.05659,1
20.05306,19.11735,18.88358,18.77901,18.77974,0.93571,0.23377,0.10457,-7.30E-04,1
20.41439,19.43499,19.18454,19.098,19.10171,0.9794,0.25045,0.08654,-0.00371,1
21.63978,20.32089,19.9354,19.8592,19.84228,1.31889,0.38549,0.0762,0.01692,1
21.09336,20.2611,19.81942,19.64577,19.61977,0.83226,0.44168,0.17365,0.026,1
20.91817,19.88068,19.56312,19.43153,19.38168,1.03749,0.31756,0.13159,0.04985,1
19.43512,18.44428,18.15281,18.01911,18.05305,0.99084,0.29147,0.1337,-0.03394,1
19.41749,18.39399,18.14042,18.01489,18.02025,1.0235,0.25357,0.12553,-0.00536,1
19.45362,18.4465,18.20061,18.08122,18.1116,1.00712,0.24589,0.11939,-0.03038,1
19.52214,18.58868,18.35895,18.23031,18.54866,0.93346,0.22973,0.12864,-0.31835,1
19.69132,18.62974,18.39116,18.28193,18.31487,1.06158,0.23858,0.10923,-0.03294,1
19.65012,18.65226,18.42911,18.32725,18.3888,0.99786,0.22315,0.10186,-0.06155,1
19.66115,18.64912,18.40592,18.27942,18.31672,1.01203,0.2432,0.1265,-0.0373,1
19.63186,18.66456,18.42121,18.31042,18.33589,0.9673,0.24335,0.11079,-0.02547,1
19.78146,18.80777,18.52299,18.36667,18.42357,0.97369,0.28478,0.15632,-0.0569,1
19.80944,18.77929,18.55933,18.44211,18.47526,1.03015,0.21996,0.11722,-0.03315,1
19.58012,18.61356,18.38284,18.29635,18.31769,0.96656,0.23072,0.08649,-0.02134,1
19.83732,18.81335,18.58224,18.47797,18.50793,1.02397,0.23111,0.10427,-0.02996,1
20.85224,19.94982,19.70094,19.53222,19.54259,0.90242,0.24888,0.16872,-0.01037,1
19.98815,19.03043,18.77867,18.66783,18.655,0.95772,0.25176,0.11084,0.01283,1
