u,g,r,i,z,u-g,g-r,r-i,i-z
22.48829,20.32713,18.95531,17.81464,17.18229,2.16116,1.37182,1.14067,0.63235
20.907,20.15013,19.84212,19.76145,19.64181,0.75687,0.30801,0.08067,0.11964
20.21137,18.43918,17.85722,17.64367,17.55417,1.77219,0.58196,0.21355,0.0895
21.17667,20.16986,19.86143,19.72864,19.74626,1.00681,0.30843,0.13279,-0.01762
20.59405,19.71102,19.43858,19.37368,19.44056,0.88303,0.27244,0.0649,-0.06688
21.28473,20.04159,19.78312,19.68058,19.72562,1.24314,0.25847,0.10254,-0.04504
22.19195,17.95106,16.83743,16.40556,16.17703,4.24089,1.11363,0.43187,0.22853
19.01611,17.96351,17.59943,17.4279,17.41108,1.0526,0.36408,0.17153,0.01682
16.54,15.16697,14.59449,14.31193,14.17399,1.37303,0.57248,0.28256,0.13794
19.95943,19.24643,19.02821,18.93929,19.04205,0.713,0.21822,0.08892,-0.10276
23.4167,18.50329,17.1642,16.59101,16.26177,4.91341,1.33909,0.57319,0.32924
19.15241,18.08737,17.75733,17.61473,17.57761,1.06504,0.33004,0.1426,0.03712
18.65452,17.54545,17.09881,16.90587,16.87469,1.10907,0.44664,0.19294,0.03118
21.33273,20.28603,19.84553,19.73054,19.65519,1.0467,0.4405,0.11499,0.07535
19.1685,18.20169,17.90128,17.77133,17.76863,0.96681,0.30041,0.12995,0.0027
21.06896,20.29369,19.95928,19.79479,19.78039,0.77527,0.33441,0.16449,0.0144
19.91696,19.0639,18.79699,18.67011,18.67409,0.85306,0.26691,0.12688,-0.00398
20.7793,18.19284,16.77719,16.02792,15.63428,2.58646,1.41565,0.74927,0.39364
22.881,20.34199,19.13209,18.67282,18.40742,2.53901,1.2099,0.45927,0.2654
19.77324,18.85857,18.63076,18.56552,18.55063,0.91467,0.22781,0.06524,0.01489
20.16369,19.29455,19.00507,18.90874,18.85193,0.86914,0.28948,0.09633,0.05681
17.68256,16.53469,16.05443,15.82204,15.71119,1.14787,0.48026,0.23239,0.11085
20.37684,19.37303,18.99583,18.65295,18.47921,1.00381,0.3772,0.34288,0.17374
20.67873,19.8602,19.60024,19.47039,19.4868,0.81853,0.25996,0.12985,-0.01641
21.5458,20.18443,19.64575,19.47741,19.33237,1.36137,0.53868,0.16834,0.14504
20.30811,19.44342,19.20985,19.25678,19.07513,0.86469,0.23357,-0.04693,0.18165
19.70277,18.75184,18.54708,18.46627,18.44492,0.95093,0.20476,0.08081,0.02135
20.9985,20.10091,19.8253,19.64175,19.58382,0.89759,0.27561,0.18355,0.05793
19.31526,18.36006,18.11537,18.00314,18.02003,0.9552,0.24469,0.11223,-0.01689
20.33497,19.46691,19.24187,19.06161,19.21446,0.86806,0.22504,0.18026,-0.15285
20.95584,20.04073,19.78097,19.63985,19.65691,0.91511,0.25976,0.14112,-0.01706
19.99154,19.06868,18.85447,18.78422,18.73597,0.92286,0.21421,0.07025,0.04825
20.68876,19.84089,19.58696,19.47658,19.44498,0.84787,0.25393,0.11038,0.0316
21.10524,20.12991,19.82332,19.70911,19.80641,0.97533,0.30659,0.11421,-0.0973
