r0,g0-r0,Class
18.2393356,0.5618804,1
18.2953356,0.5438804,1
18.2923356,0.5558804,1
18.3443356,0.5548804,1
18.3633356,0.5238804,1
18.3083356,0.5748804,1
18.4393356,0.5858804,1
18.4923356,0.5868804,1
18.4233356,0.5448804,1
18.5003356,0.5378804,1
18.5323356,0.6348804,1
18.4183356,0.5578804,1
18.5313356,0.6328804,1
18.4753356,0.5938804,1
18.4793356,0.6198804,1
18.4733356,0.5478804,1
18.5183356,0.5878804,1
18.4323356,0.5538804,1
18.6313356,0.5608804,1
18.6123356,0.6648804,1
18.6303356,0.6358804,1
18.5983356,0.6008804,1
18.5783356,0.6458804,1
18.7433356,0.6518804,1
18.8383356,0.6558804,1
18.7733356,0.6188804,1
18.6523356,0.6398804,1
18.8093356,0.6618804,1
18.7753356,0.6398804,1
18.7313356,0.6628804,1
18.9353356,0.6858804,1
18.6943356,0.6208804,1
18.8043356,0.6468804,1
18.9463356,0.6798804,1
18.7523356,0.6568804,1
18.9843356,0.7368804,1
18.8423356,0.6498804,1
18.9633356,0.7528804,1
18.8733356,0.5708804,1
18.9373356,0.6698804,1
18.7963356,0.6558804,1
18.7833356,0.5798804,1
19.0633356,0.7248804,1
18.9553356,0.6748804,1
19.0833356,0.7268804,1
18.9433356,0.6968804,1
19.0033356,0.6638804,1
19.0063356,0.7308804,1
19.1923356,0.6648804,1
19.6693356,0.9698804,1
19.0433356,0.6688804,1
19.1353356,0.6268804,1
19.0083356,0.6948804,1
19.3023356,0.7248804,1
19.2583356,0.7318804,1
19.2153356,0.6878804,1
19.1623356,0.6698804,1
19.4023356,0.6648804,1
19.2753356,0.8228804,1
19.4653356,0.7958804,1
19.1943356,0.6618804,1
19.3773356,0.7138804,1
19.4633356,0.9198804,1
19.2363356,0.6388804,1
19.3503356,0.7748804,1
19.3453356,0.7418804,1
19.3263356,0.7778804,1
19.3183356,0.7488804,1
19.5143356,0.7908804,1
19.5793356,0.7668804,1
19.4803356,0.8358804,1
19.3013356,0.7288804,1
19.5873356,0.9088804,1
19.6963356,0.8928804,1
19.5993356,0.9648804,1
19.6243356,0.9648804,1
19.5803356,0.8148804,1
19.5633356,0.9198804,1
19.7853356,0.8718804,1
19.8473356,0.8718804,1
19.7013356,0.9718804,1
19.5393356,0.7948804,1
19.7943356,0.7928804,1
19.8853356,0.9458804,1
19.8643356,0.9628804,1
19.7653356,0.9078804,1
19.9633356,0.9178804,1
20.1313356,1.0768804,1
19.5513356,0.8368804,1
19.6483356,0.8948804,1
20.0073356,0.9408804,1
19.9933356,0.9308804,1
20.1523356,1.0868804,1
18.4333356,0.6068804,1
18.8563356,0.7328804,1
19.2583356,0.6938804,1
19.5513356,0.9308804,1
19.4473356,0.8538804,1
19.4143356,0.7178804,1
18.1153356,0.5278804,1
18.5253356,0.6248804,1
18.7403356,0.6628804,1
18.6563356,0.6858804,1
19.3333356,0.6788804,1
18.9503356,0.7278804,1
19.2063356,0.7968804,1
19.0883356,0.6898804,1
19.1743356,0.7098804,1
19.4993356,0.8868804,1
19.2283356,0.7498804,1
19.5423356,0.7088804,1
19.6523356,0.7798804,1
19.6893356,0.8128804,1
19.5073356,0.8448804,1
19.4853356,0.7348804,1
19.7433356,0.8288804,1
20.2853356,1.1588804,1
19.9173356,0.8128804,1
18.0613356,0.5158804,1
18.6443356,0.5998804,1
18.9573356,0.6988804,1
19.3253356,0.7788804,1
19.0683356,0.6738804,1
20.0803356,0.9658804,1
18.4663356,0.6108804,1
19.3983356,0.7768804,1
19.1053356,0.7128804,1
19.8573356,1.0348804,1
20.0213356,0.9378804,1
18.4863356,0.6118804,1
19.0793356,0.6898804,1
19.2663356,0.7738804,1
19.2823356,0.7758804,1
19.5063356,0.7818804,1
19.7643356,0.9758804,1
19.2233356,0.7638804,1
19.8143356,0.8838804,1
20.0463356,0.8908804,1
20.0873356,0.9658804,1
20.2173356,1.0308804,1
16.9443356,0.4878804,1
16.9553356,0.4578804,1
16.9873356,0.4828804,1
17.0343356,0.4668804,1
16.9873356,0.4328804,1
17.0673356,0.3758804,1
17.0933356,0.5088804,1
17.1123356,0.4628804,1
