u,g,r,i,z,u-g,g-r,r-i,i-z
19.98007,18.9183,18.62592,18.5197,18.53918,1.06177,0.29238,0.10622,-0.01948
21.04421,20.16463,19.86164,19.7497,19.85194,0.87958,0.30299,0.11194,-0.10224
20.54852,19.68863,19.39672,19.32131,19.35245,0.85989,0.29191,0.07541,-0.03114
20.54567,19.597,19.31512,19.15373,19.29352,0.94867,0.28188,0.16139,-0.13979
20.47238,19.46898,19.0751,18.90493,18.77758,1.0034,0.39388,0.17017,0.12735
19.68924,18.69935,18.32623,18.15201,18.11806,0.98989,0.37312,0.17422,0.03395
19.81712,18.90458,18.64474,18.53641,18.55445,0.91254,0.25984,0.10833,-0.01804
21.21721,20.28701,19.99058,19.84835,19.9711,0.9302,0.29643,0.14223,-0.12275
20.79347,19.79399,19.45091,19.40434,19.52584,0.99948,0.34308,0.04657,-0.1215
20.69281,19.70907,19.44694,19.36018,19.30297,0.98374,0.26213,0.08676,0.05721
20.9849,19.95871,19.6808,19.52802,19.52849,1.02619,0.27791,0.15278,-0.00047
20.73085,19.63725,19.34828,19.2608,19.28785,1.0936,0.28897,0.08748,-0.02705
21.21478,20.22916,19.90138,19.73043,19.89916,0.98562,0.32778,0.17095,-0.16873
20.21776,19.19811,18.92592,18.82223,18.83074,1.01965,0.27219,0.10369,-0.00851
20.94954,20.08447,19.80584,19.63739,19.6402,0.86507,0.27863,0.16845,-0.00281
20.63877,19.78364,19.51656,19.42818,19.40903,0.85513,0.26708,0.08838,0.01915
21.07199,20.07591,19.76215,19.61597,19.77308,0.99608,0.31376,0.14618,-0.15711
20.8153,19.93105,19.60563,19.51836,19.42738,0.88425,0.32542,0.08727,0.09098
20.61089,19.69339,19.43034,19.28634,19.43633,0.9175,0.26305,0.144,-0.14999
20.14033,19.18416,18.91559,18.82417,18.86982,0.95617,0.26857,0.09142,-0.04565
19.90416,18.89181,18.60168,18.46308,18.50238,1.01235,0.29013,0.1386,-0.0393
20.38783,19.38242,19.08234,18.97107,18.88623,1.00541,0.30008,0.11127,0.08484
21.24722,20.30153,19.99417,19.91384,20.15428,0.94569,0.30736,0.08033,-0.24044
20.45346,19.43929,19.19972,19.07102,19.09651,1.01417,0.23957,0.1287,-0.02549
19.66365,18.52752,18.07359,17.86515,17.82143,1.13613,0.45393,0.20844,0.04372
20.64934,19.62323,19.33105,19.22121,19.34591,1.02611,0.29218,0.10984,-0.1247
18.89762,17.613,17.0843,16.82696,16.76862,1.28462,0.5287,0.25734,0.05834
19.01941,17.75305,17.2121,16.95985,16.886,1.26636,0.54095,0.25225,0.07385
22.88306,20.55342,19.89912,19.62894,19.54683,2.32964,0.6543,0.27018,0.08211
19.78656,18.78024,18.40654,18.27834,18.25754,1.00632,0.3737,0.1282,0.0208
20.96073,20.16743,19.86313,19.75034,19.74009,0.7933,0.3043,0.11279,0.01025
20.32486,19.33997,19.04236,18.95075,18.9862,0.98489,0.29761,0.09161,-0.03545
