u,g,r,i,z,u-g,g-r,r-i,i-z,Class
20.05033,19.10225,18.7839,18.69331,18.72614,0.9480799999999999,0.31835,0.09059,-0.03283,1.0
20.15087,19.13512,18.85395,18.71247,18.82155,1.01575,0.28117,0.14148,-0.10908000000000001,1.0
19.97061,19.01245,18.81186,18.6877,18.70585,0.95816,0.20059000000000002,0.12415999999999999,-0.01815,1.0
20.00689,19.00479,18.71068,18.59874,18.604020000000002,1.0021,0.29411,0.11194000000000001,-0.005280000000000007,1.0
21.81908,20.16624,19.18758,18.354039999999998,17.803379999999997,1.65284,0.9786600000000001,0.83354,0.55066,1.0
19.946939999999998,19.03495,18.72227,18.60409,18.66894,0.91199,0.31268,0.11818,-0.06485,1.0
19.65806,18.73689,18.460739999999998,18.35097,18.4012,0.92117,0.27615,0.10977,-0.05022999999999998,1.0
20.08439,19.04964,18.771,18.64208,18.74376,1.03475,0.27864,0.12892,-0.10167999999999999,1.0
19.90305,18.93293,18.647920000000003,18.55958,18.65375,0.9701200000000001,0.28501,0.08834,-0.09417,1.0
20.04654,19.02864,18.76425,18.63457,18.71249,1.0179,0.26439,0.12968,-0.07791999999999999,1.0
21.55491,19.92726,18.96622,18.4768,18.24057,1.62765,0.9610399999999999,0.48941999999999997,0.23623000000000002,1.0
19.85201,18.906760000000002,18.60284,18.49369,18.51538,0.94525,0.30391999999999997,0.10915,-0.02169,1.0
19.89266,18.93433,18.68737,18.56691,18.61049,0.9583299999999999,0.24695999999999999,0.12046,-0.04358000000000001,1.0
19.93916,18.94689,18.72832,18.5827,18.571460000000002,0.9922700000000001,0.21857,0.14562,0.01124,1.0
19.919539999999998,18.98473,18.67101,18.56608,18.62419,0.93481,0.31372,0.10493,-0.05810999999999998,1.0
19.56813,18.543979999999998,18.25488,18.16573,18.13585,1.02415,0.2891,0.08915,0.02988,1.0
22.003429999999998,19.578139999999998,18.56476,18.19941,17.992639999999998,2.42529,1.01338,0.36535,0.20676999999999998,1.0
19.56416,18.58437,18.24607,18.13445,18.14808,0.9797899999999999,0.3383,0.11162000000000001,-0.013630000000000003,1.0
19.783279999999998,18.72202,18.41846,18.27445,18.21862,1.06126,0.30356,0.14401,0.05583,1.0
19.7366,18.68044,18.31215,18.14441,18.17,1.05616,0.36829,0.16774,-0.02559,1.0
19.632479999999997,18.60408,18.278760000000002,18.18469,18.16851,1.0284,0.32532,0.09407,0.01618,1.0
19.73113,18.64285,18.20189,17.99766,17.98193,1.08828,0.44096,0.20423,0.01573,2.0
19.85655,18.65312,18.19025,18.0181,17.93972,1.20343,0.46287,0.17215,0.07837999999999999,2.0
19.61701,18.52261,18.03333,17.83979,17.79055,1.0944,0.48928,0.19354000000000002,0.04924,2.0
19.455920000000003,18.255229999999997,17.773979999999998,17.55578,17.502679999999998,1.20069,0.48125,0.2182,0.0531,3.0
19.2109,17.59212,16.983,16.79567,16.7133,1.6187799999999999,0.60912,0.18733,0.08237,3.0
18.489539999999998,17.18964,16.63662,16.397479999999998,16.28949,1.2999,0.55302,0.23914000000000005,0.10799,3.0
