u,g,r,i,z,u-g,g-r,r-i,i-z,Class
25.93224,24.84633,23.67553,22.412029999999998,22.26997,1.08591,1.1708,1.2635,0.14206,1.0
25.15471,24.27645,23.03324,21.90648,21.660320000000002,0.87826,1.24321,1.12676,0.24616,1.0
19.205389999999998,18.3157,18.057470000000002,17.913510000000002,17.89347,0.88969,0.25823,0.14396,0.020040000000000002,2.0
24.070079999999997,21.85639,21.51495,21.22861,22.4165,2.21369,0.34144,0.28634,-1.18789,1.0
23.239829999999998,21.727729999999998,21.32858,21.18766,21.02167,1.5121,0.39915,0.14092000000000002,0.16599,1.0
22.34744,20.814320000000002,20.65331,20.43758,20.167370000000002,1.53312,0.16101,0.21573,0.27021,1.0
20.15018,18.17445,17.389770000000002,17.04474,16.8185,1.97573,0.78468,0.34503,0.22624,3.0
21.96341,20.79699,20.53335,20.30518,20.26077,1.16642,0.26364,0.22816999999999998,0.044410000000000005,1.0
23.83964,22.17016,21.97691,21.14945,22.092670000000002,1.6694799999999999,0.19325,0.8274600000000001,-0.9432200000000002,1.0
22.18582,20.64949,20.16906,19.93761,19.59054,1.53633,0.48043,0.23145,0.34707,1.0
20.48886,19.395410000000002,19.15305,19.0409,19.01995,1.09345,0.24235999999999996,0.11215,0.02095,1.0
22.89341,22.1121,21.66687,21.56917,22.10623,0.7813100000000001,0.44523,0.0977,-0.5370600000000001,1.0
25.86287,22.24524,21.86401,21.44993,22.495520000000003,3.61763,0.38123,0.41408,-1.04559,1.0
24.31557,22.40075,21.710620000000002,21.14409,22.3954,1.91482,0.69013,0.56653,-1.2513100000000001,1.0
23.86753,21.42371,20.95125,20.62446,21.099970000000003,2.44382,0.47246000000000005,0.32679,-0.47551000000000004,1.0
21.449189999999998,20.4785,20.13651,19.94501,20.14829,0.9706899999999999,0.34199,0.1915,-0.20327999999999996,1.0
21.3144,20.161579999999997,19.94835,19.73842,19.80738,1.1528200000000002,0.21323,0.20993,-0.06896000000000001,1.0
24.36784,23.72208,22.6975,20.79239,18.8553,0.64576,1.0245799999999998,1.9051099999999999,1.9370900000000002,1.0
19.23156,17.89498,17.3939,17.161070000000002,17.037679999999998,1.3365799999999999,0.50108,0.23283,0.12339000000000001,3.0
24.68045,22.28306,21.89173,21.8277,22.16868,2.39739,0.39133,0.06402999999999999,-0.34098,1.0
