kepler_ID,period,epoch,duration
KIC 3248033,1.33410942554474,66.6990509033203,2.19
KIC 5903312,1.16015625,54.7017211914063,1.66
KIC 11553706,3.71980977058411,68.067512512207,2.75
KIC 11913073,3.74782919883728,104.66438293457,3.69
KIC 7684873,2.94738483428955,104.528518676758,3.03
KIC 3964562,3.01247620582581,68.2583618164063,2.48
KIC 9110357,0.895280182361603,66.4100189208984,2.74
KIC 7255336,1.20319545269012,66.9303817749023,1.55
KIC 10125352,4.28851556777954,54.9718894958496,2.08
KIC 9071386,4.69330596923828,69.8619613647461,5.17
KIC 4743513,2.0860812664032,103.963798522949,1.94
KIC 10593759,3.13260459899902,69.009521484375,2.85
KIC 3832716,1.1418764591217,103.338226318359,4.17
KIC 4247791,4.10087203979492,101.145248413086,6.87
KIC 6956014,0.925584971904755,102.691589355469,1.72
KIC 5725087,0.366196900606155,66.5597534179688,1.11
KIC 9025922,11.3202905654907,110.083572387695,3.26
KIC 3742855,6.39719247817993,107.364151000977,5.12
KIC 3558981,2.98786234855652,101.010620117188,2.61
KIC 8248939,1.63346076011658,114.854621887207,2.53
KIC 10620329,0.436282306909561,103.701728820801,1.04
KIC 6889235,5.18857669830322,58.8489608764648,4.25
KIC 9552608,9.25062274932861,68.4051818847656,5.42
KIC 7700871,2.5898118019104,66.884407043457,2.69
KIC 9210823,0.828206181526184,68.7212524414063,1.87
KIC 10489525,1.61224317550659,64.8516464233398,3.1
KIC 4752451,6.41497659683228,65.861701965332,2.93
KIC 6721123,7.36178874969482,65.2502670288086,3.66
KIC 3247396,8.81113529205322,69.4533233642578,3.65
KIC 8892910,10.8101148605347,65.951301574707,3.73
KIC 11673674,4.61876964569092,66.3857192993164,5.53
KIC 7601633,15.6638584136963,80.3954620361328,2.33
KIC 9048161,8.66783142089844,70.3404083251953,4.2
KIC 10555375,5.80179214477539,70.5775527954102,3.68
KIC 6631721,13.7382402420044,67.4332809448242,2.89
KIC 5652237,4.46448040008545,65.3217697143555,2.72
KIC 6185711,11.7023162841797,84.1300201416016,1.94
KIC 11044770,15.6081771850586,77.3092727661133,4.67
KIC 8323753,6.7142915725708,67.3135299682617,2.85
KIC 11455491,6.1430606842041,68.1447906494141,4.72
KIC 12504988,5.09393930435181,72.7170562744141,3.81
KIC 5376836,3.47942423820496,69.7966003417969,3.3
KIC 7972785,7.30073022842407,66.5660171508789,5.69
KIC 10019708,8.78485012054443,68.3497924804688,5.49
KIC 9838975,18.6928615570068,76.832389831543,4.03
KIC 5547480,3.97986245155334,65.0702819824219,1.77
KIC 3862246,4.70249843597412,69.3075408935547,1.92
KIC 5023956,1.82464516162872,80.4826126098633,2.95
KIC 8453211,5.77674436569214,76.09619140625,5.02
KIC 9592579,2.6375777721405,67.2116012573242,4.3
KIC 3097346,4.02979564666748,103.690353393555,3.14
KIC 5716763,1.28132045269012,102.666809082031,0.88
KIC 8703887,14.170970916748,108.60710144043,3.61
KIC 10488450,2.6834077835083,104.424087524414,1.9
KIC 11200415,4.6396279335022,105.21443939209,2.91
KIC 3438975,2.97593760490417,104.668930053711,4.43
KIC 7024222,1.63309180736542,103.197196960449,1.45
KIC 8700558,4.79183721542358,106.510032653809,2.13
KIC 8948424,5.8888258934021,106.582649230957,3.08
KIC 9641041,1.08908116817474,104.228538513184,2.52
KIC 9724984,7.86336183547974,104.001693725586,2.7
KIC 9895004,2.25082612037659,103.321220397949,1.21
KIC 10031885,8.58951854705811,107.966949462891,6.07
KIC 10383687,8.48778343200684,109.93367767334,2.79
KIC 11189127,2.67194294929504,102.853080749512,1.81
KIC 12106929,5.93722820281982,104.572540283203,3.94
KIC 1571511,14.0224523544312,110.594551086426,8.09
KIC 2438070,2.44294214248657,104.096977233887,2.92
KIC 12643589,1.41162872314453,111.262413024902,1.2
KIC 2449074,4.94402885437012,106.747886657715,2.94
KIC 2452450,8.09702968597412,103.811347961426,4.57
KIC 3230578,6.33761405944824,103.189086914063,1.62
KIC 3231137,3.90016984939575,105.369552612305,2.65
KIC 3847708,3.74122333526611,104.705879211426,2.48
KIC 3849155,1.16831529140472,103.601951599121,1.27
KIC 4159347,12.2836389541626,107.361282348633,2.78
KIC 4165960,6.77449560165405,104.010643005371,1.93
KIC 4252322,14.5915307998657,113.85018157959,1.35
KIC 7289157,5.26638269424438,106.833938598633,3.58
KIC 3342592,17.1773204803467,103.545738220215,8.14
KIC 5218441,3.61375451087952,104.422142028809,5.35
KIC 5478055,15.852198600769,107.228736877441,3.91
KIC 5872150,5.92236614227295,106.818458557129,3.04
KIC 9597411,1.57563138008118,103.392570495605,2.05
KIC 11824222,15.8413438796997,110.141227722168,2.68
KIC 5021176,4.04506731033325,105.681533813477,2.19
KIC 6200715,3.72352623939514,105.181060791016,2.97
KIC 6758917,2.23610019683838,102.647827148438,1.75
KIC 8621348,11.3444223403931,105.843521118164,3.61
KIC 8773869,1.576340675354,103.879928588867,3.2
KIC 11255761,4.99266958236694,102.554107666016,2.49
KIC 12316431,17.907787322998,108.556869506836,4.22
