kic,bjd0,period
KIC 6072578,54862.142079,0.2696718
KIC 6103049,54964.888912,0.6431712
KIC 6105491,56903.857649,13.2996383
KIC 6106771,54964.616674,0.2638263
KIC 6109688,54959.199116,14.0867881
KIC 6118779,54964.62105,0.3642464
KIC 6124941,54969.20124,5.670144
KIC 6128027,54969.906496,5.4557662
KIC 6128141,54965.726351,1.8726245
KIC 6128248,54964.750595,0.2917436
KIC 6131659,54960.041397,17.5278303
KIC 6137885,55003.383308,12.7900994
KIC 6141791,54998.492254,13.6590347
KIC 6143826,54953.804632,1.35476
KIC 6144827,54964.644135,0.2346497
KIC 6145939,55006.195223,17.7454139
KIC 6147122,54959.763678,15.4514983
KIC 6148271,54966.114761,1.7852901
KIC 6153219,55000.260143,0.5303
KIC 6153672,55153.072286,3.3644248
KIC 6182019,55003.801005,3.6649654
KIC 6182849,54999.698484,6.399107
KIC 6185717,54972.430554,11.7022037
KIC 6187341,54964.88641,0.984599
KIC 6187893,54954.087252,0.7891676
KIC 6191574,54964.878585,1.0345298
KIC 6191945,54968.529821,6.807377
KIC 6197038,54961.77658,9.7517082
KIC 6197319,54965.64962,1.6638044
KIC 6200709,55001.464543,3.72353
KIC 6205460,54956.455222,3.722832
KIC 6206751,54954.013099,1.2453335
KIC 6209347,55004.482164,2.1365771
KIC 6209824,54954.933021,1.2629743
KIC 6213131,55002.076566,0.5614165
KIC 6220470,54969.504565,8.144136
KIC 6220497,55000.313265,1.3231671
KIC 6223646,54953.711109,0.3649341
KIC 6224853,55000.078797,0.5360475
KIC 6227560,55187.672503,4.8035123
KIC 6228703,54955.056337,8.4004137
KIC 6231401,54970.586944,6.0919556
KIC 6233466,55008.613065,15.8733069
KIC 6233903,55001.719115,5.9908477
KIC 6262882,54965.111503,0.9965008
KIC 6264091,54964.640434,0.3250179
KIC 6265720,54964.727675,0.3124277
KIC 6267702,54999.949686,0.2831963
KIC 6268722,54955.449481,2.638433
KIC 6279974,54965.09688,0.8052593
KIC 6281103,54964.870623,0.3632807
KIC 6283224,55003.357462,0.7664732
KIC 6286155,54999.666345,14.5418297
KIC 6286161,54999.765372,14.5417852
KIC 6286402,54964.71163,0.3433205
KIC 6287172,54953.651911,0.2038732
KIC 6290382,54970.027986,6.128161
KIC 6290740,54994.495729,15.1518271
KIC 6292925,54999.63755,13.6123475
KIC 6301030,55000.247999,11.9911576
KIC 6302051,54953.667645,0.6658734
KIC 6302592,54965.209605,1.5780237
KIC 6305192,54997.563107,8.0251572
KIC 6311637,54954.380904,1.6208134
KIC 6311681,54967.214653,0.8447864
KIC 6312521,55002.107084,3.0155492
KIC 6314173,55001.65428,1.433263
KIC 6344429,54999.948235,0.4084591
KIC 6350020,54964.613787,0.2417928
KIC 6353203,54954.104166,0.5085044
KIC 6359771,54964.976479,0.4060683
KIC 6359798,54959.543281,14.1540383
KIC 6362386,54956.954223,4.5924016
KIC 6363494,55003.946981,1.8156334
KIC 6365321,54964.887524,0.8484849
KIC 6367628,54957.352101,3.7796922
KIC 6368316,54964.637347,0.3385051
KIC 6370120,54964.641692,1.354777
KIC 6370361,54953.659559,0.4549104
KIC 6370665,54965.405285,0.9323156
KIC 6372268,54966.725142,5.2200466
KIC 6387450,54968.269124,3.6613261
KIC 6387887,54999.968602,0.2169003
KIC 6390205,54964.657643,0.4494018
KIC 6421188,54969.287716,16.4343542
KIC 6421483,54954.096898,2.1584021
KIC 6424124,54964.891371,0.385528
KIC 6431545,54964.589641,0.3168339
KIC 6432059,54964.7543,0.7697398
KIC 6436038,55002.127347,0.3763072
KIC 6443392,54953.619364,0.7769761
KIC 6443538,54999.778242,6.2614461
KIC 6446219,54964.952724,0.4448055
KIC 6447430,54954.148049,1.160002
KIC 6448768,54981.090131,16.4867982
KIC 6449358,54955.07341,5.7767904
KIC 6452742,54965.553936,1.3755444
KIC 6462057,54954.018541,0.478716
KIC 6464285,54964.946805,0.8436513
KIC 6466939,54964.90023,2.2858938
KIC 6467389,54953.686178,0.288976
KIC 6468938,54961.234627,7.2170122
KIC 6469946,55003.342964,0.7158021
KIC 6470516,55002.256848,2.0804309
KIC 6471048,54953.685654,0.297228
KIC 6504095,54964.632606,0.3067755
KIC 6507541,54964.69946,0.3272123
KIC 6516874,55001.920115,0.9163269
KIC 6521542,54965.681641,4.4257541
KIC 6522750,54968.745463,17.4456414
KIC 6523216,54956.906624,14.3131559
KIC 6525196,54954.352139,3.4206042
KIC 6526545,54963.784265,2.1014179
KIC 6531485,54964.798481,0.6769904
KIC 6531496,55011.179978,14.3239139
KIC 6543674,54965.303847,2.3910305
KIC 6545018,54965.835642,3.9914603
KIC 6546508,55189.794079,6.1070571
KIC 6548447,54955.257314,10.7683785
KIC 6549491,54964.73373,0.7646535
KIC 6579806,54967.08592,9.8804825
KIC 6591789,54967.354443,5.0884095
KIC 6593363,54972.256833,18.5278243
KIC 6593575,54964.829012,0.3457439
KIC 6594972,54965.985195,10.8191714
KIC 6595662,54965.597778,2.6805144
KIC 6599919,54843.666732,13.6101053
KIC 6603756,54968.885056,5.2042833
KIC 6606282,54965.435543,2.1070998
KIC 6606653,54965.284591,2.6980238
KIC 6610219,54962.134169,11.3009948
KIC 6613627,55115.344848,0.1507996
KIC 6614926,54966.327253,3.0267648
KIC 6615041,54964.806732,0.3400853
KIC 6620003,54966.31524,3.4285506
KIC 6628237,54968.139103,3.8401292
KIC 6629332,54968.730786,4.3105565
KIC 6629588,54966.783103,2.2644714
KIC 6631721,54967.429814,13.7382835
KIC 6633929,54950.066672,0.3589077
KIC 6634112,54966.846749,9.942229
KIC 6665064,54964.697452,0.6983698
KIC 6669809,54953.998571,0.7337378
KIC 6670812,55001.46173,1.7418136
KIC 6671698,54954.077303,0.4715248
KIC 6675060,54997.959235,10.4433279
KIC 6677225,54964.733473,0.5250272
KIC 6689368,54954.343791,1.2701142
KIC 6692340,54954.126755,0.6748494
KIC 6693555,54997.298851,10.8749883
KIC 6694186,54957.053147,5.5542237
KIC 6695510,55001.716302,2.1729669
KIC 6695889,54965.373754,1.1065608
KIC 6697716,54965.580655,1.443249
KIC 6698670,54962.075695,10.8158902
KIC 6699679,54953.612834,0.2012033
KIC 6706287,54966.387341,2.5353877
KIC 6707942,55000.607445,9.0142
KIC 6756669,54965.860764,5.8515322
KIC 6758917,54966.86979,2.2361019
KIC 6762188,54967.001224,7.155502
KIC 6762829,54971.667903,18.7952663
KIC 6766325,54964.712111,0.4399657
KIC 6766748,54969.012548,7.0028651
KIC 6775034,55005.339857,10.0285473
KIC 6778050,54965.564982,0.945828
KIC 6781535,54971.834534,9.1220856
KIC 6791604,54964.682474,0.5288055
KIC 6794131,54954.308318,1.6133285
KIC 6803335,54954.334913,1.1108525
KIC 6805146,54956.568667,13.7797021
KIC 6805779,55000.932684,0.8019212
KIC 6806632,54973.97478,9.4691573
KIC 6836140,54964.661378,0.487721
KIC 6841577,54973.272656,15.5375346
KIC 6842345,55010.171917,17.3816119
KIC 6843507,54964.768043,0.3431821
KIC 6844489,54965.376438,1.0797603
KIC 6847018,54958.523585,16.6621665
KIC 6849046,54966.334555,4.225385
KIC 6852488,54966.937685,2.1720406
KIC 6853229,55002.043939,0.4261115
KIC 6859813,54954.793569,10.8824223
KIC 6862603,55004.64563,2.8611663
KIC 6863161,55004.056778,1.9866388
KIC 6863229,54954.485937,1.9949205
KIC 6863840,54964.745869,3.8527339
KIC 6865626,54964.842153,0.7267678
KIC 6866228,54970.562764,7.7023697
KIC 6867766,54969.142306,12.9647248
KIC 6880727,54965.032712,0.4127365
KIC 6881709,55003.281167,6.7411163
KIC 6889235,54956.285879,5.18867
KIC 6891512,54955.20628,3.5051258
KIC 6927629,54968.343029,7.7352283
KIC 6929869,55000.093721,0.283692
KIC 6934587,54954.476823,1.5709187
KIC 6939670,54968.201068,4.2388552
KIC 6948815,55000.4341,1.5415306
KIC 6949550,54969.587142,7.8410674
KIC 6956014,54954.559115,1.8511821
KIC 6956216,54998.410568,4.81883
KIC 6960446,54999.452809,10.149
KIC 6962018,54965.073843,1.2698936
KIC 6964043,55292.008176,5.3625822
KIC 6964796,54964.683664,0.3999658
KIC 6965293,54957.473848,5.0778199
KIC 6966265,54964.757106,0.3134353
KIC 7009828,54968.123854,10.6424535
KIC 7013934,54953.767682,0.6413681
KIC 7021177,55017.497406,18.6453284
KIC 7023917,54953.888778,0.772842
KIC 7025540,55279.406534,2.1482069
KIC 7025851,55000.868483,4.681
KIC 7033748,54968.71307,4.3927102
KIC 7035139,54964.871775,0.3097412
KIC 7037319,54965.123496,0.5781095
KIC 7037540,55294.236375,14.4059109
KIC 7038831,55000.03273,0.6272909
KIC 7039026,54996.118502,9.9439292
KIC 7041856,54999.450276,4.0006688
KIC 7051984,54964.539453,0.6781334
KIC 7060333,55005.617622,2.5272477
KIC 7091476,54954.384662,0.8077356
KIC 7097571,54954.495717,2.2139641
KIC 7107567,55000.300464,0.8125981
KIC 7108433,54999.851991,1.519188
KIC 7117153,55003.165289,0.3595289
KIC 7117541,55003.069603,1.5856743
KIC 7118545,54977.695194,14.7972189
KIC 7118621,54964.861971,0.3705528
KIC 7118656,54964.747849,0.3213551
KIC 7119757,54965.303131,0.7429222
KIC 7119876,54964.657436,0.3663645
KIC 7125636,54965.066874,6.4906615
KIC 7128918,54970.15678,7.1187988
KIC 7129465,54966.17109,5.4918221
KIC 7130044,54964.695612,0.297665
KIC 7137798,54954.217705,2.2535374
KIC 7173910,54964.706068,0.4022438
KIC 7174349,55001.193215,2.97414
KIC 7174617,54966.186266,1.6083773
KIC 7176440,54964.566395,0.3582708
KIC 7177553,54954.545842,17.9964667
KIC 7177892,54954.651393,1.3862494
KIC 7186665,54970.220495,8.559396
KIC 7198474,55000.068173,0.2423046
KIC 7199183,55002.030763,0.324092
KIC 7199353,54964.814394,0.2819867
KIC 7199774,54955.947027,4.7081278
KIC 7200102,54972.573371,14.6657571
KIC 7203179,54955.035403,2.2457388
KIC 7204041,54953.965533,0.3316792
KIC 7212066,55186.355299,3.8404858
KIC 7212722,54965.310995,2.3161718
KIC 7217866,54964.726511,0.4071573
KIC 7220320,55000.142187,0.7521576
KIC 7255336,54954.897166,2.4064022
KIC 7257373,54955.658432,10.4669018
KIC 7258889,54965.003774,0.9039046
KIC 7259722,55008.819044,9.6332256
KIC 7259917,54953.806646,0.3846789
KIC 7269493,54964.636147,1.9078056
KIC 7269797,54964.708488,0.2817924
KIC 7269843,54964.567796,0.2682156
KIC 7270230,54997.900966,6.9980904
KIC 7272739,54964.852294,0.2811646
KIC 7273033,55002.048055,0.3050331
KIC 7280704,54953.70694,0.3243504
KIC 7282128,54964.935701,0.3470502
KIC 7284688,54953.678043,0.6460432
KIC 7287391,55186.181528,4.2860997
KIC 7289157,54969.976049,5.2658073
KIC 7295570,54964.646481,3.60377
KIC 7296094,55000.509656,0.8907493
KIC 7304911,54954.045742,0.6255508
KIC 7335517,55001.920777,0.2745039
KIC 7336754,54966.766309,12.1552451
KIC 7339123,54953.720417,0.3471032
KIC 7339345,54964.777196,0.2596643
KIC 7348206,54964.899837,0.4012047
KIC 7350038,55004.470351,13.8299417
KIC 7362696,54967.821893,4.9313003
KIC 7362751,54964.744492,0.338249
KIC 7362852,54968.320254,7.0367139
KIC 7365447,54999.742546,2.5253879
KIC 7366145,54964.902956,0.8643608
KIC 7367833,54964.861266,0.2861988
KIC 7368103,54965.354015,2.1825147
KIC 7368451,54953.941515,0.3733774
KIC 7369523,54966.319987,5.3188369
KIC 7373255,54997.976421,13.6611061
KIC 7373555,54964.766804,0.5366747
KIC 7374746,55186.649269,2.7338924
KIC 7375612,54953.638704,0.1600729
KIC 7376500,55004.655794,5.877128
KIC 7376983,55189.737655,5.6449249
KIC 7377033,54968.471285,3.9136205
KIC 7377343,55000.294539,15.9089508
KIC 7378178,55001.837575,0.6242687
KIC 7382250,54954.984264,1.4187322
KIC 7383021,55000.2699,0.4660608
KIC 7385478,54954.534784,1.6554777
KIC 7387296,54955.333002,2.5795445
KIC 7422883,54958.945233,11.4145336
KIC 7431703,54953.887641,0.5725258
KIC 7432479,55000.077595,0.4084587
KIC 7433513,54965.256118,0.701119
KIC 7440742,54949.928411,0.2839922
KIC 7449844,54965.124308,1.1522182
KIC 7455553,54970.900122,6.5164972
KIC 7457163,54954.116481,0.7746042
KIC 7458285,54964.86363,0.6606276
KIC 7466863,54968.164226,11.9711385
KIC 7501230,54954.447274,0.8927503
KIC 7506164,54964.902669,0.5580129
KIC 7506446,54964.894098,0.3525999
KIC 7511416,54998.05123,5.5908551
KIC 7512381,54953.969873,0.4239248
KIC 7515679,54998.132442,5.5904352
KIC 7516345,54964.910393,0.4918701
KIC 7518816,54953.691277,0.46658
KIC 7523733,55120.563191,3.1211588
KIC 7529123,54964.931515,0.3500776
KIC 7532973,54954.115572,2.1446323
KIC 7533807,54964.669469,0.3168451
KIC 7542091,54953.873119,0.3904993
KIC 7546429,55001.918456,0.3521208
KIC 7546791,54964.604015,0.2423615
KIC 7549265,55113.97261,1.9624315
KIC 7552344,54964.948438,2.0014812
KIC 7584739,54954.431499,0.9115578
KIC 7584826,54965.08065,0.622309
KIC 7590728,54999.945566,0.4767224
KIC 7591456,55004.54747,5.8357507
KIC 7593110,54999.192999,3.5493836
KIC 7597095,54964.709147,0.3012058
KIC 7597703,54971.603046,9.2178033
KIC 7599004,54998.369195,4.8228925
KIC 7601633,54964.731428,15.6638729
KIC 7601767,55000.024406,0.4867339
KIC 7605600,55006.242491,3.3261926
KIC 7610340,55000.210814,1.5176953
KIC 7610486,54964.753541,0.4576793
KIC 7620664,54965.290789,0.6837179
KIC 7622059,54971.127861,10.4032616
KIC 7622486,54966.637743,2.279996
KIC 7624297,54981.666613,18.019652
KIC 7627059,55002.006219,0.3236502
KIC 7630658,55003.285035,2.1511347
KIC 7630690,54954.581174,0.8865633
KIC 7657914,54953.980579,0.4745462
KIC 7660607,54954.588856,2.7634013
KIC 7670485,54972.41132,8.4677064
KIC 7671594,54965.399363,1.4103475
KIC 7672068,55005.325304,16.8361771
KIC 7676610,54954.637879,1.2256754
KIC 7678434,55005.61689,10.3716917
KIC 7680593,54964.777089,0.2763915
KIC 7681230,54965.419533,0.962591
KIC 7684873,54954.426357,2.9473627
KIC 7685689,55001.994674,0.3251596
KIC 7686918,55002.15492,2.5188342
KIC 7690843,54954.158345,0.7862605
KIC 7691527,54968.782328,4.8002308
KIC 7691553,54964.870939,0.3483078
KIC 7695093,54966.30036,4.032768
KIC 7696778,55000.007202,0.3312357
KIC 7697065,54964.749102,0.2727656
KIC 7698650,54965.214379,0.5991551
KIC 7700181,54964.820489,0.3636985
KIC 7700578,54999.752086,1.507106
KIC 7707742,54999.750847,0.7583544
KIC 7708193,54999.609561,7.94245
KIC 7709086,54964.840111,0.4094746
KIC 7732791,55004.05764,2.0641347
KIC 7733540,54964.614024,0.7725821
KIC 7733731,54968.152089,4.858095
KIC 7740302,54953.656746,1.1535089
KIC 7740566,55113.454311,0.2970627
KIC 7744173,54964.747571,0.3985279
KIC 7748113,54954.144474,1.7346626
KIC 7749504,55007.851201,0.5662444
KIC 7750740,54967.31795,5.8741978
KIC 7751562,54975.425584,17.0421586
KIC 7763269,54999.126953,6.4079292
KIC 7765894,54956.979904,3.204542
KIC 7766185,54954.554702,0.8354573
KIC 7767559,54965.209607,4.409409
KIC 7767774,55007.740259,0.1733883
KIC 7769072,54965.049919,0.6088629
KIC 7770471,55000.182569,1.1578046
KIC 7773380,54964.888998,0.3075778
KIC 7777443,54954.257271,0.8851249
KIC 7778437,54966.173727,5.0142324
KIC 7798259,54965.832558,1.7342219
KIC 7802136,54970.136872,10.9802457
KIC 7811211,54964.823839,0.9024056
KIC 7812175,55002.612666,17.7939247
KIC 7812455,54964.877627,0.9035823
KIC 7816201,54954.116438,0.574957
KIC 7816680,55007.696294,8.5851984
KIC 7818448,54964.591429,0.6189517
KIC 7821450,54964.681405,0.3147619
KIC 7830321,54966.710252,2.0273963
KIC 7830460,54957.418154,3.3977502
KIC 7831363,54965.974532,2.817258
KIC 7833144,55001.231654,2.2477336
KIC 7835348,54965.173557,0.6640618
KIC 7836330,55147.869732,0.6583898
KIC 7838639,54965.330223,4.2263951
KIC 7838906,54954.608354,5.6149488
KIC 7839027,54964.819304,0.7206929
KIC 7840035,55004.085454,13.5421
KIC 7842610,54964.90968,1.9438654
KIC 7846730,54958.938351,11.0282266
KIC 7871200,54953.67732,0.2429038
KIC 7877062,54964.778743,0.3036515
KIC 7877824,55186.362598,9.4494257
KIC 7878402,54964.735173,0.3743508
KIC 7879399,55075.819465,0.392697
KIC 7881722,54954.118369,0.9532893
KIC 7884426,54964.67495,0.2967316
KIC 7884842,54954.893014,1.3145477
KIC 7885570,54955.158437,1.7293366
KIC 7886329,54953.641411,0.5674939
KIC 7889628,54964.7903,0.3423961
KIC 7890379,55000.252101,0.3451272
KIC 7898576,55003.002904,8.6468983
KIC 7905209,55115.237996,0.4195543
KIC 7907688,55000.020979,4.3448368
KIC 7914906,54962.971405,8.7529074
KIC 7919653,54965.674654,4.2104773
KIC 7936219,54964.800549,0.3855983
KIC 7938468,54969.160851,7.2269508
KIC 7938870,54953.693993,0.5807261
KIC 7940533,54954.622194,3.9055972
KIC 7941050,54964.782894,0.2979811
KIC 7941635,54965.413382,0.7627242
KIC 7943535,54957.075209,4.719339
KIC 7943602,54967.665197,14.6920163
KIC 7947631,54966.96066,2.5165557
KIC 7950775,54962.607133,8.9666113
KIC 7950962,54953.819202,0.8269566
KIC 7950964,55001.780307,0.8269566
KIC 7953796,54964.843665,0.3175482
KIC 7955301,54968.272901,15.3244193
KIC 7959612,55000.095587,0.2432138
KIC 7960547,54968.264782,6.7673409
KIC 7967100,54965.366145,1.9272951
KIC 7968880,54965.165152,1.773919
KIC 7970629,54966.523747,2.0510691
KIC 7970760,54957.45687,7.649413
KIC 7972785,54966.565917,7.3007334
KIC 7973882,54964.606433,0.3466342
KIC 7973970,54997.201704,9.479933
KIC 7975824,55000.053919,0.4037503
KIC 7976783,54954.260728,1.2088516
KIC 7977261,54954.341041,0.9258122
KIC 7985167,54954.200481,1.384478
KIC 7987749,54978.541993,17.030854
KIC 8004839,54964.956346,0.3437639
KIC 8008128,54969.559016,14.8544154
KIC 8013439,54970.927994,8.2562148
KIC 8016211,54966.752677,3.1748862
KIC 8016214,54966.725645,3.1749714
KIC 8019043,54954.018799,1.9855864
KIC 8023317,54979.733478,16.5790023
KIC 8028158,55110.129439,0.2710391
KIC 8029708,55000.601078,0.3135574
KIC 8039225,54955.658364,1.7941273
KIC 8043714,55008.099269,6.814989
KIC 8043961,54954.555903,1.5592121
KIC 8045121,54953.761215,0.2631774
KIC 8053107,54964.719712,0.3888709
KIC 8059303,54953.882602,0.3734259
KIC 8074045,54964.970275,0.5363932
KIC 8075618,54970.923039,17.5612071
KIC 8081389,54965.004201,1.4894405
KIC 8081482,54966.868734,2.8194565
KIC 8087799,54999.919751,0.9262976
KIC 8088354,54965.604098,2.8978298
KIC 8094140,54965.145978,0.7064291
KIC 8095099,54965.867114,4.2064786
KIC 8097553,54999.906547,0.3912358
KIC 8097825,54954.882686,2.9368523
KIC 8097902,54999.994061,0.3315636
KIC 8098300,54956.737583,4.3059177
KIC 8099615,55007.678943,1.9007172
KIC 8108785,54964.6407,0.2288269
KIC 8111381,54965.487904,2.2337949
KIC 8111387,54954.300944,1.2735971
KIC 8111622,54978.533359,15.4460592
KIC 8112013,54955.194701,1.7905182
KIC 8112324,54964.921809,0.5759253
KIC 8113154,54953.878234,2.5868779
KIC 8122124,54964.612833,0.2492776
KIC 8123430,55000.824704,11.16999
KIC 8127648,54999.496876,2.0469445
KIC 8128067,54966.771323,12.429647
KIC 8128965,54971.006776,7.1403779
KIC 8143757,54964.839296,0.3565228
KIC 8145477,54965.076195,0.5657843
KIC 8145789,54964.956491,1.6706295
KIC 8151107,55010.277304,18.0013083
KIC 8153568,54999.289794,3.6071431
KIC 8155368,54964.89203,0.7186437
KIC 8166095,55000.088895,0.799127
KIC 8167938,55002.144961,2.5657024
KIC 8167938,55002.141385,2.5657176
KIC 8176653,54969.948836,2.8666777
KIC 8177798,55095.50322,2.9004122
KIC 8177958,54954.774861,1.2352564
KIC 8179747,54969.948861,17.9462768
KIC 8180020,55067.750206,5.8031256
KIC 8182360,55000.391925,0.6951457
KIC 8183540,55000.676717,0.6842068
KIC 8183850,54953.664427,0.3983589
KIC 8189196,55006.353323,2.304138
KIC 8190491,54965.196015,0.7778768
KIC 8190613,54964.800952,0.3325852
KIC 8192840,54965.014895,0.4335491
KIC 8193315,54967.004069,2.6238741
KIC 8195877,54955.144432,1.5102001
KIC 8196180,54954.075157,3.6716611
KIC 8197368,54995.741398,9.0878567
KIC 8197406,55019.208811,2.5130061
KIC 8211618,55000.238288,0.3374436
KIC 8211824,55000.4806,0.8411262
KIC 8218274,54965.27773,1.1873525
KIC 8219268,54969.380606,6.2467298
KIC 8222813,55190.548069,8.7042122
KIC 8222945,54964.704201,0.4511233
KIC 8229048,54964.930001,5.4789525
KIC 8230809,54973.317215,4.0783467
KIC 8230815,54953.680087,0.3452189
KIC 8231231,54954.089687,0.7116099
KIC 8231877,54964.775873,2.6155284
KIC 8234477,54966.956865,4.0286719
KIC 8240109,54955.985319,2.3011884
KIC 8240861,55000.000664,0.8984997
KIC 8241079,55000.009202,10.9191173
KIC 8241252,54964.64794,0.3540438
KIC 8242350,54958.005866,6.9935555
KIC 8242493,54964.621844,0.2832856
KIC 8242681,54966.637566,4.020629
KIC 8243263,54966.833553,3.5185527
KIC 8244173,55185.699534,2.1841323
KIC 8245326,55001.985218,0.3307674
KIC 8248812,54964.767313,0.685366
KIC 8257903,54965.057663,0.515065
KIC 8262223,54955.070513,1.6130147
KIC 8263746,55004.767535,10.9938362
KIC 8263752,54993.7945,10.9938022
KIC 8263940,54965.133991,0.5154949
KIC 8264097,54999.797834,2.89747
KIC 8264510,55003.229908,5.6867594
KIC 8264534,54954.8728,1.415798
KIC 8265951,54954.244147,0.7799575
KIC 8279765,54965.474177,2.7577936
KIC 8280135,54964.797973,0.286885
KIC 8285254,54970.780437,7.5358961
KIC 8285349,54953.778822,0.6671103
KIC 8285970,54964.764619,0.5624879
KIC 8288719,54954.623216,1.5100967
KIC 8288741,55000.119225,0.2197664
KIC 8294484,54999.83932,1.0127395
KIC 8296467,54970.167546,10.3033555
KIC 8298344,54964.796026,0.3028751
KIC 8299947,54999.438436,5.3656
KIC 8301013,54957.310989,4.4280594
KIC 8302455,54957.805712,4.8839763
KIC 8309175,54964.74857,0.2995914
KIC 8311255,54964.763804,0.5791159
KIC 8312222,54969.176413,12.8232756
KIC 8314879,54999.845981,0.8777596
KIC 8316503,54967.98115,5.0653297
KIC 8323764,55000.884655,6.714245
KIC 8328376,55000.221037,4.3459671
KIC 8330092,54964.942348,0.3217236
KIC 8330575,54964.77353,1.9141584
KIC 8345358,54965.557875,9.3806332
KIC 8356054,55282.974394,17.0812314
KIC 8358008,54968.250259,10.0646892
KIC 8360184,54964.847229,0.484545
KIC 8364119,54955.515059,7.7359104
KIC 8365739,54976.979013,2.3892922
KIC 8367007,54964.933977,0.251616
KIC 8374499,54969.740178,5.2519183
KIC 8378656,54967.700484,3.6294401
KIC 8379547,54959.161582,6.0420394
KIC 8380743,55000.734331,2.0377195
KIC 8381592,55006.693969,5.7841801
KIC 8382182,54965.480967,1.2587141
KIC 8386048,55000.20769,0.8174223
KIC 8386198,54956.561538,2.5811087
KIC 8386865,54953.926763,1.2580412
KIC 8394040,54964.878453,0.3021265
KIC 8397460,54954.900654,1.4189566
KIC 8397675,54953.720983,0.5532589
KIC 8409588,54953.717638,1.360837
KIC 8411947,54966.03288,1.7976748
KIC 8414159,54975.852889,11.9311328
KIC 8428136,55000.010912,0.4681444
KIC 8429415,55000.190868,1.3525754
KIC 8429450,54954.217684,2.7051426
KIC 8429817,54967.897014,6.2634947
KIC 8430210,54966.008067,1.9754592
KIC 8431389,54964.949522,0.3510926
KIC 8432040,55095.498914,5.327758
KIC 8432859,55000.451536,0.3511705
KIC 8435247,55288.00238,0.6961296
KIC 8444552,54964.589475,1.1780996
KIC 8452840,54954.148064,1.2011596
KIC 8453191,54976.094839,11.5535307
KIC 8453324,54958.728589,2.5245437
KIC 8454250,54954.99197,5.0828695
KIC 8455359,55002.026589,2.9636783
KIC 8456774,54998.605241,2.8863398
KIC 8456998,54961.709393,7.5315115
KIC 8458207,54967.774915,3.5301622
KIC 8460600,54967.206457,6.3520872
KIC 8479107,54964.817985,0.7675766
KIC 8479386,54973.703543,11.7207557
KIC 8481574,54964.728369,0.3268648
KIC 8488876,54958.377657,5.8018811
KIC 8495415,54966.667498,2.2372185
KIC 8496820,54953.98272,0.4369669
KIC 8504570,54955.77716,4.0077046
KIC 8508485,55005.644464,12.5957956
KIC 8509346,54968.521635,6.0990331
KIC 8523194,54954.22374,0.8785327
KIC 8539720,54953.983567,0.7444991
KIC 8539850,54964.745399,0.6421045
KIC 8543278,54968.010552,7.5492999
KIC 8545456,54953.665175,0.3152045
KIC 8548416,54954.934698,1.1636482
KIC 8552540,54954.105667,1.0619343
KIC 8553788,54954.997634,1.6061632
KIC 8554005,54954.006655,0.6083407
KIC 8554498,54999.437661,4.7803211
KIC 8555573,54964.830102,0.3263619
KIC 8555795,55000.099196,0.2345234
KIC 8561192,55001.352936,2.7425932
KIC 8563964,54953.843362,0.3384363
KIC 8564672,55063.217627,0.4347912
KIC 8565912,55000.334268,1.0121736
KIC 8574270,54972.696614,15.1201897
KIC 8579707,54953.85171,0.7885922
KIC 8579812,55000.069192,0.6610619
KIC 8580438,54968.467897,6.4960325
KIC 8581658,54956.737784,3.4816575
KIC 8587078,55000.262147,0.5841474
KIC 8587792,54953.660533,0.3681687
KIC 8589754,55001.77797,8.9393811
KIC 8590527,54953.870653,0.73977
KIC 8590780,54960.864402,8.653893
KIC 8604993,54967.018723,6.5704209
KIC 8608310,54964.955191,0.9503824
KIC 8608490,54965.473637,1.08281
KIC 8616873,54964.802731,0.5760788
KIC 8618226,54970.650002,5.8820362
KIC 8620561,55002.205025,0.7820467
KIC 8621026,54954.009536,4.0594287
KIC 8621353,55005.848346,11.3443514
KIC 8624520,55005.631953,10.2405936
KIC 8624778,55000.117411,0.2762617
KIC 8625469,55000.520801,0.3022458
KIC 8626039,55000.051783,0.2828906
KIC 8647309,55000.112942,1.0220371
KIC 8652599,54955.141476,1.3609932
KIC 8654097,55003.400402,3.0415903
KIC 8669092,54954.28886,1.0008312
KIC 8677949,55001.951829,0.2849507
KIC 8678664,55012.776741,15.4204002
KIC 8682849,55003.039756,0.3525548
KIC 8685306,54954.092069,0.8080821
KIC 8687088,54965.215702,0.9050307
KIC 8690104,54964.833394,0.4087744
KIC 8694926,55000.015425,0.3714863
KIC 8695779,55006.674439,10.2389391
KIC 8696274,54964.693053,0.3914865
KIC 8696327,55000.020604,0.8792289
KIC 8696442,54996.162544,12.3605529
KIC 8700558,55006.496825,4.7918146
KIC 8701327,54954.075179,8.5088412
KIC 8703528,54953.967981,0.3998748
KIC 8703887,55008.607704,14.17098
KIC 8707639,55098.72857,7.7851957
KIC 8711548,54982.814672,18.778161
KIC 8715667,54964.914772,0.4057079
KIC 8719324,55003.805236,10.2326979
KIC 8719419,54998.307222,12.6253361
KIC 8719897,54955.237444,3.1514245
KIC 8736072,54999.909231,0.4776316
KIC 8736245,54969.01191,5.0694815
KIC 8739802,55001.999865,0.2745129
KIC 8746310,54969.021701,6.8556244
KIC 8758161,54953.832607,0.9982176
KIC 8758716,54953.672989,0.1072049
KIC 8780968,55004.660489,5.2344872
KIC 8784288,54965.264718,3.655118
KIC 8800998,54965.514052,0.8828148
