kic,bjd0,period
KIC 3633901,54999.655075,0.807387
KIC 3641446,55000.215748,2.1000143
KIC 3654950,55003.927327,8.1347246
KIC 3655326,54973.654266,15.0665034
KIC 3656322,54956.379473,3.6636036
KIC 3659940,54965.564596,0.8962698
KIC 3662635,54965.012755,0.9393755
KIC 3729724,54999.176469,16.4187555
KIC 3730067,54964.887243,0.2940786
KIC 3732732,54953.918666,0.3961872
KIC 3734868,54966.268921,10.328036
KIC 3735597,54954.425217,1.9663556
KIC 3735629,54999.322469,9.3283461
KIC 3743834,54964.543136,0.2736148
KIC 3745184,54964.732045,0.3042328
KIC 3749508,54954.37722,1.0657337
KIC 3756730,54964.961909,0.3791639
KIC 3761175,55169.32562,5.1623434
KIC 3764714,55000.373734,6.6332758
KIC 3765708,55002.136735,0.4314189
KIC 3765771,54969.011606,5.5677174
KIC 3766353,54966.7224,2.6669648
KIC 3830820,54968.114264,15.582788
KIC 3832382,54964.603149,0.2726487
KIC 3832716,54954.237442,1.1418772
KIC 3832716,54953.978611,2.1701093
KIC 3833859,54954.084827,0.4317433
KIC 3834322,54964.575359,0.996858
KIC 3834364,54965.31488,2.9084549
KIC 3836439,54954.213023,1.5403954
KIC 3836522,55003.511422,1.5403797
KIC 3837677,54964.806673,0.4619841
KIC 3838496,55002.0075,5.9803965
KIC 3839964,54964.791432,0.2561499
KIC 3848042,54964.75831,0.4114527
KIC 3848919,54964.765586,1.0472603
KIC 3848972,55001.998566,0.7410574
KIC 3849155,54965.047161,1.1683133
KIC 3851193,54964.838287,1.3410787
KIC 3851320,55000.251155,1.2385693
KIC 3852655,55000.716753,11.629058
KIC 3853259,54964.780871,0.2766478
KIC 3853673,54965.687811,0.6437959
KIC 3861595,54959.728108,3.8493669
KIC 3862171,55001.336005,6.9964614
KIC 3862246,54969.307559,4.7024935
KIC 3865298,54967.812277,9.5306346
KIC 3869326,54969.211375,8.586044
KIC 3869825,54972.13509,4.8006556
KIC 3935319,55001.97395,0.3531307
KIC 3936357,54953.852697,0.3691536
KIC 3953106,54972.976076,13.17437
KIC 3953981,54953.822532,0.4920172
KIC 3954227,55002.265535,0.594276
KIC 3954798,54953.841706,0.91848
KIC 3956545,54964.884961,0.3302801
KIC 3956881,54964.961529,0.6969455
KIC 3957477,54954.934438,0.9790522
KIC 3958488,54954.154703,0.622891
KIC 3964545,54965.246014,3.0124754
KIC 3965242,54964.911763,0.9967236
KIC 3965556,54999.504584,6.5567702
KIC 3966491,54955.927896,1.3519722
KIC 3969362,54964.964675,0.4105683
KIC 3970233,54966.159737,8.2549143
KIC 3971315,54969.690539,9.8922771
KIC 3972629,54964.812585,0.2442402
KIC 3973002,54967.882431,3.9841974
KIC 3973504,55003.478168,4.3187277
KIC 3973549,55008.351662,1.389955
KIC 4035675,54965.582631,2.8736622
KIC 4036687,55000.292216,0.2997993
KIC 4037163,55000.227976,0.635444
KIC 4037428,54955.403778,4.2647283
KIC 4044005,54954.747545,17.5119471
KIC 4049124,54969.003883,4.8044707
KIC 4059656,54966.70959,4.0593977
KIC 4066203,55000.041821,0.3625492
KIC 4069063,54964.906342,0.5042961
KIC 4069213,54957.18326,5.1942561
KIC 4070376,54965.333738,1.6346136
KIC 4071600,54954.587439,1.6746345
KIC 4073678,54927.892568,0.2882443
KIC 4074532,54953.94133,0.3531526
KIC 4074708,54964.856673,0.3021166
KIC 4076952,54966.703076,9.7611686
KIC 4077442,54954.130321,0.6928422
KIC 4078157,54960.327077,16.0246714
KIC 4078693,54954.999726,2.7565308
KIC 4079530,54994.771374,17.7271
KIC 4138301,54964.685221,0.2533791
KIC 4149684,55004.30436,4.3208494
KIC 4150136,54995.577252,9.4784025
KIC 4150611,54999.688801,1.5222786
KIC 4150611,54961.005419,8.6530923
KIC 4157488,54968.137425,5.1974199
KIC 4159347,54958.22766,12.2835553
KIC 4165960,54970.130555,13.5491781
KIC 4168013,55002.044137,0.3108761
KIC 4169521,54953.784404,1.1725557
KIC 4174507,54966.03964,3.891825
KIC 4241946,54999.914195,0.284384
KIC 4242692,54966.637371,2.2770704
KIC 4244929,54964.746256,0.3414027
KIC 4245897,54973.788825,11.2578219
KIC 4247791,54954.796044,4.0497388
KIC 4247791,54956.035723,4.1008708
KIC 4248941,54997.105632,8.6445976
KIC 4249218,54964.857382,0.3161948
KIC 4252322,54970.075735,14.5915165
KIC 4263529,55006.311988,10.1040158
KIC 4273411,54965.666692,1.2196984
KIC 4275739,55088.178957,4.3436563
KIC 4276114,55003.79077,3.7224071
KIC 4281895,54954.697005,9.543588
KIC 4285087,54966.450124,4.4860312
KIC 4346875,54966.779517,4.6942191
KIC 4349483,54964.907025,0.5091406
KIC 4350454,54964.942703,0.9656582
KIC 4352168,54967.941346,10.6437482
KIC 4357272,54964.964677,2.0859499
KIC 4358206,54964.920938,0.9511619
KIC 4359851,55008.493886,13.542328
KIC 4365442,54999.136949,1.7144132
KIC 4365461,54964.865358,3.42883
KIC 4367544,54965.760421,2.3912219
KIC 4372379,54966.216027,4.5351711
KIC 4372705,55000.244783,1.2786675
KIC 4372765,55004.5354,15.6398
KIC 4377638,55004.265058,2.8218747
KIC 4380283,54965.902751,1.7447194
KIC 4385109,54964.667954,0.2746477
KIC 4386047,55001.200546,2.90069
