kepid,kepler_name,koi_period,koi_time0bk,koi_duration
KIC 3734418,Kepler-1164 b,3.97599629,133.62238,2.2029
KIC 3745690,Kepler-157 b,1.732346403,134.53123,2.2139
KIC 3745690,Kepler-157 c,13.54057461,171.67762,4.4673
KIC 3745690,Kepler-157 d,7.0257409,133.62713,2.245
KIC 3749134,Kepler-792 b,11.30123036,134.91855,4.022
KIC 3749365,Kepler-785 b,1.97376085,178.6894194,1.82542
KIC 3762468,Kepler-493 b,3.003879547,134.709874,3.2848
KIC 3833007,Kepler-555 b,16.21774917,180.0425,4.9274
KIC 3835670,Kepler-473 b,14.55730897,145.095012,7.7643
KIC 3839488,Kepler-794 b,11.13127159,134.36341,4.2372
KIC 3847138,Kepler-556 b,11.72291212,177.3196,4.2064
KIC 3847907,Kepler-497 b,3.573202801,134.934397,2.88
KIC 3848275,Kepler-1403 b,5.19492747,131.62458,3.167
KIC 3852655,Kepler-1406 b,11.62904159,132.82099,2.97
KIC 3869014,Kepler-789 b,8.63847391,139.94684,5.4566
KIC 3935914,Kepler-686 b,1.594745374,170.6483505,1.9604
KIC 3937519,Kepler-495 b,3.413036353,132.443054,2.61366
KIC 3939150,Kepler-277 b,17.32419108,142.09977,8.045
KIC 3942670,Kepler-147 b,12.6119685,138.1189,6.372
KIC 3955817,Kepler-1553 b,4.24263096,135.0304,2.582
KIC 3962243,Kepler-276 b,14.12847677,142.8971,3.685
KIC 3962357,Kepler-791 b,14.55387488,134.11669,6.973
KIC 3967760,Kepler-317 b,5.52418625,135.62306,2.826
KIC 3967760,Kepler-317 c,8.77514782,133.70319,3.176
KIC 3969687,Kepler-1382 b,16.3583482,141.25354,9.858
KIC 4043190,Kepler-796 b,6.40087137,136.8824,2.5561
KIC 4055304,Kepler-1107 b,0.571038347,131.653752,1.1267
KIC 4056616,Kepler-1053 b,2.41434868,132.42878,1.2701
KIC 4076098,Kepler-817 b,3.990105908,355.840837,2.4108
KIC 4077526,Kepler-58 b,10.21864532,136.8622,3.802
KIC 4077526,Kepler-58 c,15.573637,132.44282,5.326
KIC 4135665,Kepler-823 b,4.16811839,134.89621,2.8084
KIC 4136466,Kepler-826 b,4.48758768,133.36092,2.874
KIC 4138951,Kepler-1373 b,1.291233083,131.99105,1.855
KIC 4139816,Kepler-235 b,3.340218842,171.979062,1.9104
KIC 4139816,Kepler-235 c,7.82502168,136.54995,2.186
KIC 4141376,Kepler-1655 b,11.87290814,180.895933,2.5342
KIC 4142847,Kepler-1143 b,2.888904439,132.15271,1.6043
KIC 4144576,Kepler-1139 b,0.813166357,131.82536,1.4122
KIC 4157325,Kepler-416 b,6.31943553,132.22892,3.3422
KIC 4157325,Kepler-416 c,12.20951755,360.3204,4.1808
KIC 4164994,Kepler-816 b,10.50682978,360.082152,3.7769
KIC 4165473,Kepler-597 b,13.02363236,178.52482,3.9734
KIC 4180280,Kepler-472 b,4.176254191,133.090415,3.6716
KIC 4242692,Kepler-1531 b,1.138548215,132.46205,2.1482
KIC 4243911,Kepler-821 b,1.922799706,134.50174,1.8604
KIC 4249725,Kepler-120 b,6.312508525,132.654418,2.7455
KIC 4249725,Kepler-120 c,12.7945474,130.7668,3.4197
KIC 4263293,Kepler-331 b,8.45746636,133.87132,2.2906
KIC 4263293,Kepler-331 c,17.28116957,136.00718,2.829
KIC 4270253,Kepler-183 b,5.68798675,133.95607,2.2682
KIC 4270253,Kepler-183 c,11.6370303,178.84448,3.3372
KIC 4275191,Kepler-688 b,3.895936525,170.527552,2.3111
KIC 4275721,Kepler-825 b,3.77359871,134.07013,2.7282
KIC 4275721,Kepler-825 c,8.18182189,134.81423,2.4566
KIC 4278221,Kepler-908 b,1.340596782,132.24549,1.6484
KIC 4282872,Kepler-818 b,10.035381809,137.471481,3.4062
KIC 4346178,Kepler-1304 b,16.1289679,143.75518,6.271
KIC 4349452,Kepler-25 b,6.238535444,171.706325,3.5255
KIC 4349452,Kepler-25 c,12.720370263,178.528297,2.7306
KIC 4381429,Kepler-1608 b,16.473474,142.68604,4.201
KIC 4454752,Kepler-578 b,1.616883373,169.80396,1.6325
KIC 4455231,Kepler-288 b,6.09747233,354.05919,3.431
KIC 4458082,Kepler-1181 b,4.89336495,133.6449,3.485
KIC 4466677,Kepler-822 b,3.222975318,178.0701,2.9247
KIC 4473613,Kepler-1623 b,4.36125889,132.53228,2.174
KIC 4478168,Kepler-624 b,14.58649856,172.22185,4.0249
KIC 4483138,Kepler-1384 b,15.3626052,145.5732,3.736
KIC 4545187,Kepler-121 b,3.177414601,134.478892,1.5262
KIC 4548011,Kepler-1581 b,6.28384079,133.20513,4.291
KIC 4563268,Kepler-625 b,7.75192755,176.17197,3.5413
KIC 4563268,Kepler-625 c,4.16536757,132.04068,3.2935
KIC 4570949,Kepler-76 b,1.544928892,133.5487914,1.43586
KIC 4633570,Kepler-158 b,16.70920628,174.75417,2.7052
KIC 4636578,Kepler-350 b,11.1895709,140.63504,5.3
KIC 4636578,Kepler-350 c,17.84850835,148.39117,5.8919
KIC 4644604,Kepler-626 b,14.48584765,175.00624,3.1365
KIC 4644952,Kepler-319 b,4.36273233,135.23342,2.2375
KIC 4644952,Kepler-319 c,6.94135824,137.5437,1.8899
KIC 4645174,Kepler-1500 b,15.0330623,131.89493,6.326
KIC 4650674,Kepler-824 b,4.51436096,134.0293,3.0083
KIC 4664847,Kepler-690 b,7.748094239,174.997206,3.5957
KIC 4725681,Kepler-236 b,8.29561738,135.79284,1.3421
KIC 4736569,Kepler-1042 b,10.13200555,132.91155,3.1683
KIC 4736644,Kepler-1470 b,16.2951259,144.80425,3.678
KIC 4741126,Kepler-887 c,7.63846084,138.24557,3.957
KIC 4742414,Kepler-628 b,15.458056682,173.782454,8.79536
KIC 4757437,Kepler-168 b,4.42535097,134.56312,3.504
KIC 4757437,Kepler-168 c,13.19322809,175.6096,5.0036
KIC 4770617,Kepler-1154 b,5.18560081,132.32455,4.054
KIC 4770617,Kepler-1154 c,8.45805119,137.06123,2.998
KIC 4827723,Kepler-629 b,7.23858162,171.21912,3.1199
KIC 4831728,Kepler-1330 b,10.10773789,135.1032,3.828
KIC 4832837,Kepler-621 b,2.628117322,169.718913,1.8289
KIC 4833421,Kepler-122 b,5.766165573,134.01725,3.8314
KIC 4833421,Kepler-122 c,12.466004437,134.003258,5.0066
KIC 4847534,Kepler-579 b,9.66857386,174.53483,2.4656
KIC 4852528,Kepler-80 b,7.053527145,176.474146,2.3982
KIC 4852528,Kepler-80 c,9.521644639,177.484839,2.3569
KIC 4852528,Kepler-80 d,3.072146607,134.030017,1.8732
KIC 4852528,Kepler-80 e,4.645382149,134.58939,2.0271
KIC 4852528,Kepler-80 f,0.986785834,133.171292,1.1879
KIC 4913852,Kepler-691 b,8.11437482,176.33968,2.2736
KIC 4914423,Kepler-103 b,15.96532718,142.178033,4.5837
KIC 4915638,Kepler-1291 b,8.63050092,139.57438,3.144
KIC 4917596,Kepler-1032 b,3.290114076,133.15709,1.5151
KIC 4932442,Kepler-923 b,6.93365167,137.07375,4.608
KIC 4989057,Kepler-1017 b,7.23400381,137.67742,2.165
KIC 4991208,Kepler-1393 b,2.44358543,132.80194,1.852
KIC 5007345,Kepler-1225 b,7.01074295,138.4027,2.1787
KIC 5036705,Kepler-1238 b,4.14789051,135.53291,3.829
KIC 5080636,Kepler-974 b,4.194496867,134.13511,1.7807
KIC 5084942,Kepler-475 b,3.105507835,133.210427,1.7458
KIC 5088400,Kepler-1556 b,8.82715783,139.73416,2.019
KIC 5088536,Kepler-130 b,8.45744892,139.06689,3.2893
KIC 5088591,Kepler-955 b,14.5324483,140.72407,3.13
KIC 5094751,Kepler-109 b,6.481633073,122.977657,3.784
KIC 5120087,Kepler-631 b,17.97979816,182.24179,5.5828
KIC 5164255,Kepler-693 b,15.37562369,173.61402,3.3169
KIC 5175986,Kepler-1320 b,0.868386354,132.06741,1.066
KIC 5177104,Kepler-904 b,3.02168007,133.47243,2.8264
KIC 5177859,Kepler-1576 b,6.98472143,135.99731,2.724
KIC 5184911,Kepler-1324 b,4.11585514,134.11726,1.4858
KIC 5185897,Kepler-398 b,4.081411554,133.85992,2.3239
KIC 5185897,Kepler-398 c,11.41941928,142.11859,3.3075
KIC 5185897,Kepler-398 d,6.83440674,136.86023,2.2726
KIC 5202905,Kepler-340 b,14.8444836,143.576,6.091
KIC 5209845,Kepler-1378 b,11.95401876,140.26226,2.656
KIC 5219234,Kepler-305 b,5.48711441,356.0773,2.93
KIC 5219234,Kepler-305 c,8.29084167,359.63666,3.613
KIC 5219234,Kepler-305 d,16.73869035,359.41655,2.398
KIC 5252423,Kepler-237 b,4.71510843,134.96178,2.506
KIC 5252423,Kepler-237 c,8.10363271,176.9486,3.161
KIC 5272233,Kepler-400 b,9.02436414,133.54199,3.011
KIC 5272233,Kepler-400 c,17.3408735,138.96694,3.398
KIC 5272878,Kepler-694 b,6.365839713,171.13575,2.9721
KIC 5281113,Kepler-1602 b,11.17931581,131.64123,3.103
KIC 5289854,Kepler-308 b,9.69501146,182.45413,2.75
KIC 5289854,Kepler-308 c,15.3825394,139.07648,3.815
KIC 5299459,Kepler-307 b,10.41572666,143.04774,2.7719
KIC 5299459,Kepler-307 c,13.08424286,132.63129,3.0401
KIC 5301750,Kepler-84 b,8.72585478,138.76838,4.473
KIC 5301750,Kepler-84 c,12.88291395,135.18736,5.676
KIC 5301750,Kepler-84 d,4.22453631,135.42908,3.128
KIC 5339567,Kepler-1240 b,4.86638504,134.01501,2.296
KIC 5340644,Kepler-580 b,8.22241355,172.95657,2.71
KIC 5340878,Kepler-1566 b,0.539915033,131.55207,1.1466
KIC 5350244,Kepler-1276 b,12.5722897,143.0663,4.765
KIC 5351250,Kepler-150 b,3.42806306,132.36268,2.417
KIC 5351250,Kepler-150 c,7.381980206,173.072659,3.1152
KIC 5351250,Kepler-150 d,12.56096618,166.79483,3.7647
KIC 5357901,Kepler-425 b,3.797018259,133.508776,2.2608
